record_id,customer_id,full_name,entity_type,dob,country,national_id,account_prefix,onboarding_date,status,last_refresh,label,category
REC-0000062,CUS-0000062,VIKTOR SCHMIDT,INDIVIDUAL,2005-09-13,MX,HV00000637,MX-26,2006-10-01,ACTIVE,2026-01-30,0,clean
REC-0000063,CUS-0000063,MOHAMMED AL-RASHID,INDIVIDUAL,1988-05-23,BR,HV00000644,BR-56,2009-12-09,ACTIVE,2026-02-11,0,clean
REC-0000064,CUS-0000064,SUMMIT CONSULTING BV,,,AU,HV00000651,AU-53,2024-06-30,DORMANT,2025-11-03,0,missing_supporting
REC-0000065,CUS-0000065,SOFIA VARGAS,INDIVIDUAL,2000-07-02,JP,HV00000668,JP-60,2025-04-17,ACTIVE,2023-05-08,0,stale_refresh
REC-0000066,CUS-0000066,PRIYA JOHANSSON,INDIVIDUAL,1951-02-01,IT,HV00000675,IT-68,2006-04-25,ACTIVE,2026-02-16,0,clean
REC-0000067,CUS-0000067,DAVID TANAKA,INDIVIDUAL,2000-07-17,DK,HV00000682,DK-39,2020-04-27,ACTIVE,2025-09-16,0,clean
REC-0000068,CUS-0000068,OMAR MULLER,INDIVIDUAL,1997-01-01,IE,HV00000699,IE-69,2010-12-19,CLOSED,2026-01-27,0,clean
REC-0000069,CUS-0000069,MARIA SILVA,INDIVIDUAL,1967-04-22,NZ,HV00000702,NZ-59,2009-02-19,ACTIVE,2026-03-02,0,clean_edge
REC-0000070,CUS-0000070,ALEKSANDR JOHANSSON,INDIVIDUAL,1977-08-07,KR,HV00O00719,KR-85,2022-09-01,ACTIVE,2026-04-12,1,invalid_id_checksum
REC-0000071,CUS-0000071,CHLOE FERREIRA,INDIVIDUAL,1965-02-04,DK,HV00000726,DK-14,2016-12-22,ACTIVE,2026-03-11,0,clean
REC-0000072,CUS-0000072,,INDIVIDUAL,2001-07-07,JP,HV00000733,JP-57,2025-03-09,ACTIVE,2025-12-29,1,null_name_active
REC-0000073,CUS-0000073,AISHA COSTA,INDIVIDUAL,1980-10-17,AU,HV00000740,AU-21,2010-04-04,ACTIVE,2026-06-20,0,clean
REC-0000074,CUS-0000074,CARLOS ROSSI,INDIVIDUAL,1990-08-26,NL,HV00000757,NL-36,2011-06-19,ACTIVE,2024-03-28,0,stale_refresh
REC-0000075,CUS-0000075,ELENA REYES,INDIVIDUAL,1953-03-28,DK,HV00000764,DK-86,2025-07-04,ACTIVE,2026-04-17,0,clean
REC-0000076,CUS-0000076,ATLANTIC TEXTILES BV,ENTITY,,SE,HV00000771,SE-13,2011-08-16,ACTIVE,2025-12-29,0,clean
REC-0000077,CUS-0000077,FATIMA OKONKWO,INDIVIDUAL,1955-08-19,JP,HV00000788,JP-43,2019-03-17,ACTIVE,2025-11-27,0,clean
REC-0000078,CUS-0000078,AMARA LINDQVIST,INDIVIDUAL,1972-06-24,PT,HV00000795,PT-75,2007-06-05,ACTIVE,2025-11-11,0,clean
REC-0000079,CUS-0000079,MEI ROSSI,INDIVIDUAL,1999-02-10,IE,HV00000808,IE-76,2006-12-22,ACTIVE,2026-06-15,0,clean
REC-0000080,CUS-0000080,HUSSEIN FERREIRA,INDIVIDUAL,2001-07-21,IN,HV00000815,IN-23,2025-01-02,ACTIVE,2025-11-15,0,clean
REC-0000081,CUS-0000081,CHLOE AL-RASHID,INDIVIDUAL,1945-11-22,DE,HV00000822,DE-26,2013-03-23,ACTIVE,2025-09-04,0,clean
REC-0000082,CUS-0000082,CHLOE KARIMI,INDIVIDUAL,1966-06-16,NL,HV00000839,NL-68,2014-07-18,ACTIVE,2025-11-22,0,clean
REC-0000083,CUS-0000083,LENA YAMAMOTO,INDIVIDUAL,1998-05-25,PL,HV00000846,PL-80,2008-07-26,ACTIVE,2026-03-12,0,clean
REC-0000084,CUS-0000084,INGRID REYES,INDIVIDUAL,1980-09-07,NZ,HV00000853,NZ-61,2011-02-15,ACTIVE,2026-05-13,0,clean
REC-0000085,CUS-0000085,JOSÉ MÜLLER,INDIVIDUAL,1953-09-10,NL,HV00000860,NL-97,2020-12-01,CLOSED,2026-05-27,0,clean_edge
REC-0000086,CUS-0000086,DAVID ROSSI,INDIVIDUAL,1951-09-03,PT,HV00000877,PT-81,2022-07-28,ACTIVE,2025-09-16,0,clean
REC-0000087,CUS-0000087,INGRID SCHMIDT,INDIVIDUAL,1999-09-09,KR,HV00000884,KR-64,2008-09-28,DORMANT,2026-06-04,0,clean
REC-0000088,CUS-0000088,BLUEWATER TEXTILES PTE,ENTITY,,IE,HV00000891,IE-74,2013-01-03,ACTIVE,2025-10-27,0,clean
REC-0000089,CUS-0000089,LENA JOHANSSON,INDIVIDUAL,1972-12-22,FR,HV00000904,FR-24,2013-11-08,ACTIVE,2025-09-10,0,clean
REC-0000090,CUS-0000090,NADIA ANDERSEN,INDIVIDUAL,1995-10-11,BR,HV00000911,BR-88,2024-12-15,ACTIVE,2025-09-18,0,clean
REC-0000091,CUS-0000091,TARIQ HASSAN,INDIVIDUAL,1963-12-29,LU,HV00000928,LU-13,2020-10-02,ACTIVE,2026-01-23,0,clean
REC-0000092,CUS-0000092,ATLANTIC COMMODITIES PTE,ENTITY,,UK,HV00000935,DE-77,2006-02-20,ACTIVE,2026-04-19,1,country_drift
REC-0000093,CUS-0000093,FATIMA IVANOV,INDIVIDUAL,1973-03-13,BR,,BR-49,2016-03-05,ACTIVE,2025-09-13,0,missing_supporting
REC-0000094,CUS-0000094,YUKI ANDERSEN,INDIVIDUAL,1995-06-06,GB,HV00000959,GB-16,2009-06-28,ACTIVE,2026-02-11,0,clean
REC-0000095,CUS-0000095,CHLOE LINDQVIST,INDIVIDUAL,1985-02-30,BR,HV00000966,BR-44,2016-11-22,ACTIVE,2025-10-11,1,malformed_dob
REC-0000096,CUS-0000096,SOFIA NGUYEN,INDIVIDUAL,1993-03-18,FR,HV00000973,FR-72,2012-05-09,ACTIVE,2026-01-24,0,clean
REC-0000097,CUS-0000097,MARIA OKONKWO,INDIVIDUAL,1900-01-01,IT,HV00000980,IT-48,2019-06-11,CLOSED,2026-04-21,0,clean_edge
REC-0000098,CUS-0000098,AMARA VARGAS,INDIVIDUAL,1978-08-20,FR,HV00000997,FR-32,2006-03-05,ACTIVE,2025-10-01,0,clean
REC-0000099,CUS-0000099,TARIQ NGUYEN,INDIVIDUAL,1971-10-10,ZA,HV00001005,ZA-19,2018-07-14,ACTIVE,2026-06-09,0,clean
REC-0000100,CUS-0000100,LENA REYES,INDIVIDUAL,1991-08-27,MX,HV00001012,MX-64,2007-09-30,ACTIVE,2025-11-29,0,clean
REC-0000101,CUS-0000101,FATIMA IVANOV,INDIVIDUAL,1995-06-15,IT,HV00001029,IT-68,2006-06-20,DORMANT,2025-12-27,0,clean
REC-0000102,CUS-0000102,ELENA FERREIRA,INDIVIDUAL,1992-10-30,FI,HV00001036,FI-61,2008-05-17,ACTIVE,2025-12-10,0,clean
REC-0000103,CUS-0000103,CRESTLINE MARINE SUPPLY LLC,ENTITY,,PT,HV00001043,PT-19,2013-08-13,ACTIVE,2026-05-03,0,clean
REC-0000104,CUS-0000104,DAVID SCHMIDT,INDIVIDUAL,2005-04-03,AE,HV00001050,AE-92,2023-05-30,DORMANT,2026-03-02,0,clean
REC-0000105,CUS-0000105,YUKI PETROV,INDIVIDUAL,1953-09-18,AU,HV00001067,AU-93,2010-06-05,ACTIVE,2025-10-21,0,clean
REC-0000106,CUS-0000106,VIKTOR LINDQVIST,INDIVIDUAL,1900-01-01,NO,HV00001074,NO-82,2023-01-16,ACTIVE,2026-01-16,0,clean_edge
REC-0000107,CUS-0000107,KENJI YAMAMOTO,INDIVIDUAL,1967-03-02,DE,HV00001081,DE-45,2016-07-08,ACTIVE,2026-01-01,0,clean
REC-0000108,CUS-0000108,KENJI SILVA,INDIVIDUAL,1945-02-07,CH,HV00001098,CH-57,2016-05-10,DORMANT,2026-05-22,0,clean
REC-0000109,CUS-0000109,CHLOE PETROV,INDIVIDUAL,1985-06-28,FI,HV00001101,FI-59,2008-01-10,ACTIVE,2025-09-20,0,clean
REC-0000110,CUS-0000110,SUMMIT FOODS BV,ENTITY,,PT,HV00001118,PT-34,2006-12-03,ACTIVE,2025-10-30,0,clean
REC-0000111,CUS-0000111,AISHA ROSSI,INDIVIDUAL,1970-10-23,GB,HV00001125,GB-20,2016-02-08,ACTIVE,2026-04-03,0,clean
REC-0000112,CUS-0000112,KENJI KARIMI,INDIVIDUAL,1986-11-24,PL,HV00001132,PL-88,2015-10-27,ACTIVE,2025-12-22,0,clean
REC-0000113,CUS-0000113,BLUEWATER FOODS LTD,ENTITY,,IT,HV00001149,IT-90,2015-03-03,ACTIVE,2026-05-28,0,clean
REC-0000114,CUS-0000114,HUSSEIN KOWALSKI,INDIVIDUAL,1962-08-10,SE,HV00001156,SE-94,2021-03-20,CLOSED,2026-04-15,0,clean
REC-0000115,CUS-0000115,CARLOS WATANABE,INDIVIDUAL,1996-02-29,NO,HV00001163,NO-49,2020-11-19,CLOSED,2025-12-12,0,clean_edge
REC-0000116,CUS-0000116,NADIA HAIDARI,INDIVIDUAL,1997-09-23,DE,HV00001170,DE-52,2012-12-11,DORMANT,2025-10-04,0,clean
REC-0000117,CUS-0000117,PABLO SCHMIDT,INDIVIDUAL,1941-08-20,KR,HV00001187,KR-56,2015-07-01,ACTIVE,2026-03-13,0,clean
REC-0000118,CUS-0000118,MOHAMMED NAKAMURA,INDIVIDUAL,1952-05-04,LU,HV00001194,LU-94,2016-11-27,ACTIVE,2026-05-10,0,clean_edge
REC-0000119,CUS-0000119,CARLOS PETROV,INDIVIDUAL,1973-10-18,BE,HV00001207,BE-29,2019-11-11,ACTIVE,2026-04-07,0,clean
REC-0000120,CUS-0000120,DAVID NGUYEN,INDIVIDUAL,2004-07-22,GB,HV00001214,GB-40,2015-03-20,CLOSED,2026-02-05,0,clean
REC-0000121,CUS-0000121,ELENA JOHANSSON,INDIVIDUAL,1961-06-16,AT,HV00001221,AT-49,2016-01-26,CLOSED,2025-11-02,0,clean
REC-0000122,CUS-0000122,PINNACLE COMPONENTS SA,ENTITY,,AE,,AE-46,2014-04-02,ACTIVE,2025-10-16,0,missing_supporting
REC-0000123,CUS-0000123,MOHAMMED ROSSI,INDIVIDUAL,1994-03-31,SG,HV00001245,SG-27,2024-04-27,DORMANT,2026-06-04,0,clean
REC-0000124,CUS-0000124,NADIA WATANABE,INDIVIDUAL,1949-03-15,FI,HV00001252,FI-76,2014-04-29,DORMANT,2026-02-05,0,clean
REC-0000125,CUS-0000125,KENJI BERGSTROM,INDIVIDUAL,1986-01-20,SG,HV00001269,SG-28,2012-02-13,DORMANT,2026-05-15,0,clean
REC-0000126,CUS-0000126,SUMMIT MARINE SUPPLY LTD,ENTITY,,JP,HV00001276,JP-63,2024-04-26,ACTIVE,2025-10-16,0,clean
REC-0000127,CUS-0000127,DAVID NAKAMURA,INDIVIDUAL,1942-07-12,IT,HV00001283,IT-50,2007-10-31,CLOSED,2026-01-10,0,clean
REC-0000128,CUS-0000128,JOHAN WATANABE,INDIVIDUAL,1982-05-21,CA,HV00001290,CA-99,2006-11-10,DORMANT,2025-11-02,0,clean
REC-0000129,CUS-0000129,JAMES HANSSON,INDIVIDUAL,1959-05-07,US,HV00001303,US-29,2007-10-12,ACTIVE,2025-10-03,0,clean
REC-0000130,CUS-0000130,ELENA KOWALSKI,INDIVIDUAL,1950-12-06,BE,HV00001310,BE-16,2012-06-18,ACTIVE,2025-11-08,0,clean
REC-0000131,CUS-0000131,CHLOE JOHANSSON,INDIVIDUAL,1941-06-22,DK,HV00001327,DK-90,2017-03-18,ACTIVE,2026-02-27,0,clean
REC-0000132,CUS-0000132,JAMES PETROV,INDIVIDUAL,1971-08-27,CH,HV00001334,CH-40,2015-08-18,ACTIVE,2026-03-27,0,clean
REC-0000133,CUS-0000133,DAVID MULLER,INDIVIDUAL,1987-03-12,DE,,DE-79,2017-09-28,ACTIVE,2025-10-14,0,missing_supporting
REC-0000134,CUS-0000134,BLUEWATER TEXTILES GMBH,ENTITY,1970-10-25,FI,HV00001358,FI-57,2016-07-18,ACTIVE,2026-06-22,0,entity_dob_conflict
REC-0000135,CUS-0000135,YUSUF DUBOIS,INDIVIDUAL,2005-12-15,HK,HV00001365,HK-52,2008-04-29,ACTIVE,2026-01-01,0,clean
REC-0000136,CUS-0000136,YUKI KHAN,INDIVIDUAL,2001-06-04,DK,HV00001372,DK-69,2020-06-01,CLOSED,2025-10-28,0,clean
REC-0000137,CUS-0000137,WEI HASSAN,INDIVIDUAL,1981-01-22,YU,HV00001389,NZ-15,2009-01-09,ACTIVE,2026-06-08,1,country_drift
REC-0000138,CUS-0000138,HUSSEIN KHAN,INDIVIDUAL,1988-09-19,CH,HV00001396,CH-70,2017-07-24,ACTIVE,2026-03-25,0,clean
REC-0000139,CUS-0000139,MARIA COSTA,INDIVIDUAL,1998-10-30,FI,HV00001409,FI-52,2023-07-07,ACTIVE,2025-12-24,0,clean
REC-0000140,CUS-0000140,KENJI BERGSTROM,INDIVIDUAL,1974-09-08,IT,HV00001416,IT-53,2022-09-03,CLOSED,2025-10-19,0,clean
REC-0000141,CUS-0000141,PABLO HANSSON,INDIVIDUAL,1947-05-31,ES,HV00001423,ES-64,2023-11-19,ACTIVE,2026-03-30,0,clean
REC-0000142,CUS-0000142,WEI REYES,INDIVIDUAL,1999-04-18,NL,HV00001430,NL-47,2008-04-20,ACTIVE,2025-11-24,0,clean
REC-0000143,CUS-0000143,KENJI SILVA,INDIVIDUAL,2005-03-16,MX,HV00001447,MX-55,2013-11-19,ACTIVE,2025-11-20,0,clean
REC-0000144,CUS-0000144,WEI NGUYEN,INDIVIDUAL,2020-05-29,AT,HV00001454,AT-61,2006-09-13,ACTIVE,2026-04-10,1,impossible_dob_sequence
REC-0000145,CUS-0000145,CARLOS MULLER,INDIVIDUAL,1961-03-04,LU,HV00001461,LU-87,2006-10-13,ACTIVE,2025-12-16,0,clean_edge
REC-0000146,CUS-0000146,DAVID LINDQVIST,INDIVIDUAL,1946-11-24,MX,HV00001478,MX-83,2014-04-27,ACTIVE,2025-12-25,0,clean
REC-0000147,CUS-0000147,ELENA TANAKA,INDIVIDUAL,1942-04-29,HK,HV00001485,HK-33,2012-04-02,ACTIVE,2025-12-14,0,clean
REC-0000148,CUS-0000148,NORTHGATE COMPONENTS LLC,ENTITY,,FR,HV00001492,FR-88,2011-11-15,ACTIVE,2025-10-22,0,clean
REC-0000149,CUS-0000149,WEI LINDQVIST,INDIVIDUAL,1955-06-28,CA,HV00001505,CA-66,2025-02-16,CLOSED,2026-01-18,0,clean
REC-0000150,CUS-0000150,,INDIVIDUAL,1966-01-18,PL,HV00001512,PL-48,2007-06-16,ACTIVE,2026-04-02,1,null_name_active
REC-0000151,CUS-0000151,AISHA GARCIA,INDIVIDUAL,1952-06-16,ZA,HV00001529,ZA-40,2011-01-11,DORMANT,2026-06-17,0,clean
REC-0000152,CUS-0000152,KENJI ROSSI,INDIVIDUAL,1989-06-28,NO,HV00001536,NO-26,2014-04-11,ACTIVE,2026-05-17,0,clean
REC-0000153,CUS-0000153,MEI MORETTI,INDIVIDUAL,1987-02-28,IT,HV00001543,IT-62,2022-01-30,ACTIVE,2025-09-09,0,clean
REC-0000154,CUS-0000154,WEI LINDQVIST,INDIVIDUAL,1981-10-16,NL,HV00001550,NL-97,2020-05-29,ACTIVE,2026-04-26,0,clean
REC-0000155,CUS-0000155,PINNACLE COMMODITIES LLC,ENTITY,,BE,HV00001567,BE-65,2018-05-14,ACTIVE,2026-06-02,0,clean
REC-0000156,CUS-0000156,BLUEWATER MEDIA GMBH,ENTITY,1997-12-11,ZA,HV00001574,ZA-51,2009-06-07,CLOSED,2026-03-07,0,entity_dob_conflict
REC-0000157,CUS-0000157,NADIA HANSSON,INDIVIDUAL,1951-03-25,AE,HV00001581,AE-90,2020-03-30,ACTIVE,2025-09-30,0,clean
REC-0000158,CUS-0000158,VIKTOR DUBOIS,INDIVIDUAL,1953-10-31,HK,HV00001598,HK-31,2009-10-13,ACTIVE,2026-01-09,0,clean
REC-0000159,CUS-0000159,MERIDIAN TEXTILES LTD,ENTITY,,NO,HV00001601,NO-92,2006-12-04,ACTIVE,2026-02-15,0,clean
REC-0000160,CUS-0000160,INGRID PETROV,INDIVIDUAL,1997-04-29,BE,HV00001618,BE-13,2018-10-31,ACTIVE,2025-09-24,0,clean
REC-0000161,CUS-0000161,ELENA ROSSI,INDIVIDUAL,2001-06-14,CH,HV00001625,CH-61,2016-10-31,ACTIVE,2026-05-24,0,clean
REC-0000162,CUS-0000162,INGRID MORETTI,INDIVIDUAL,1981-08-31,SG,HV00001632,SG-36,2015-11-11,ACTIVE,2026-04-18,0,clean
REC-0000163,CUS-0000163,MEI COSTA,INDIVIDUAL,1970-12-26,PL,HV00001649,PL-61,2013-02-28,ACTIVE,2025-12-23,0,clean
REC-0000164,CUS-0000164,ELENA LINDQVIST,INDIVIDUAL,1950-12-28,FR,HV00001656,FR-44,2013-02-27,ACTIVE,2026-04-19,0,clean
REC-0000165,CUS-0000165,LENA PETROV,INDIVIDUAL,1977-07-06,CH,HV00001663,CH-41,2014-08-13,ACTIVE,2023-07-26,0,stale_refresh
REC-0000166,CUS-0000166,CRESTLINE COMMODITIES SA,ENTITY,,PT,HV00001670,PT-75,2013-01-05,ACTIVE,2026-01-24,0,clean
