hit_id,subject_id,article_name,category,role,age_days,art_country,art_dob,art_passport,source_reliability,label,fp_category
AMHIT-0000034,SUBJ-000040,DMITRI SEVSTEIN,non_adverse,mentioned,325,,,,1.0,0,not_adverse
AMHIT-0000035,SUBJ-000111,LI WANG,litigation_civil,perpetrator,3464,,,,1.0,0,stale_immaterial
AMHIT-0000036,SUBJ-000117,JOHN SMITH,corruption_bribery,victim,392,,,,1.0,0,low_role
AMHIT-0000037,SUBJ-000100,DAVID JONES,money_laundering,perpetrator,247,,,,1.0,0,common_name_ambiguous
AMHIT-0000038,SUBJ-000003,PRIYA KREOPOULOS,money_laundering,perpetrator,352,,1953-05-12,,1.0,0,wrong_entity
AMHIT-0000039,SUBJ-000067,DAVID JONES,organized_crime,perpetrator,599,,1993-03-06,,1.0,0,wrong_entity
AMHIT-0000040,SUBJ-000048,OLUWASEUN TASHSTEIN,sanctions_evasion,victim,264,,,,1.0,0,low_role
AMHIT-0000041,SUBJ-000059,KWAME KREADZE,corruption_bribery,perpetrator,490,,1966-11-01,,1.0,0,wrong_entity
AMHIT-0000042,SUBJ-000036,PRIYA ZARENKO,non_adverse,mentioned,351,,,,1.0,0,not_adverse
AMHIT-0000043,SUBJ-000044,TARIQ DRAVSSON,sanctions_evasion,perpetrator,326,,1990-07-23,,1.0,0,wrong_entity
AMHIT-0000044,SUBJ-000064,MOHAMMED ALI,organized_crime,perpetrator,74,,,,1.0,0,common_name_ambiguous
AMHIT-0000045,SUBJ-000073,INGRID QOMOPOULOS,corruption_bribery,mentioned,21,,,,1.0,0,low_role
AMHIT-0000046,SUBJ-000035,MARIA GARCIA,money_laundering,victim,320,,,,1.0,0,low_role
AMHIT-0000047,SUBJ-000052,LI WANG,fraud,perpetrator,330,,,,1.0,0,common_name_ambiguous
AMHIT-0000048,SUBJ-000024,JOSE GONZALEZ,sanctions_evasion,perpetrator,276,,1993-12-25,,1.0,0,wrong_entity
AMHIT-0000049,SUBJ-000019,JOHN SMITH,money_laundering,perpetrator,178,,,,1.0,0,common_name_ambiguous
AMHIT-0000050,SUBJ-000046,INGRID BUROGLU,fraud,perpetrator,112,,1968-06-24,,1.0,0,wrong_entity
AMHIT-0000051,SUBJ-000100,DAVID JONES,sanctions_evasion,perpetrator,394,,1983-09-09,,1.0,0,wrong_entity
AMHIT-0000052,SUBJ-000105,MOHAMMED ALI,organized_crime,perpetrator,322,,1971-02-15,,1.0,0,wrong_entity
AMHIT-0000053,SUBJ-000028,MARIA GARCIA,organized_crime,perpetrator,590,,1973-02-26,,1.0,0,wrong_entity
AMHIT-0000054,SUBJ-000015,PRIYA BURADZE,organized_crime,perpetrator,397,,1993-12-22,,1.0,0,wrong_entity
AMHIT-0000055,SUBJ-000081,LI WANG,non_adverse,mentioned,195,,,,1.0,0,not_adverse
AMHIT-0000056,SUBJ-000003,PRIYA KREOPOULOS,sanctions_evasion,perpetrator,594,,1970-10-08,,1.0,0,wrong_entity
AMHIT-0000057,SUBJ-000059,KWAME KREADZE,corruption_bribery,mentioned,69,,,,1.0,0,low_role
AMHIT-0000058,SUBJ-000079,ANNA MULLER,money_laundering,perpetrator,69,,,,1.0,0,common_name_ambiguous
AMHIT-0000059,SUBJ-000049,MOHAMMED ALI,non_adverse,mentioned,237,,,,1.0,0,not_adverse
AMHIT-0000060,SUBJ-000087,JOSE GONZALEZ,organized_crime,perpetrator,320,,,,1.0,0,common_name_ambiguous
AMHIT-0000061,SUBJ-000053,MARIA GARCIA,money_laundering,perpetrator,521,,1989-07-09,,1.0,0,wrong_entity
AMHIT-0000062,SUBJ-000047,JOHN SMITH,organized_crime,perpetrator,140,SG,1969-11-04,,1.0,1,
AMHIT-0000063,SUBJ-000087,JOSE GONZALEZ,corruption_bribery,perpetrator,577,,1991-06-02,,1.0,0,wrong_entity
AMHIT-0000064,SUBJ-000015,PRIYA BURADZE,organized_crime,perpetrator,113,,1992-04-21,,1.0,0,wrong_entity
AMHIT-0000065,SUBJ-000117,JOHN SMITH,corruption_bribery,perpetrator,144,,,,1.0,0,common_name_ambiguous
AMHIT-0000066,SUBJ-000026,KWAME VOLADZE,litigation_civil,perpetrator,3899,,,,1.0,0,stale_immaterial
AMHIT-0000067,SUBJ-000027,INGRID MORADZE,fraud,perpetrator,356,,1959-10-01,,1.0,0,wrong_entity
AMHIT-0000068,SUBJ-000087,JOSE GONZALEZ,corruption_bribery,perpetrator,428,,,,1.0,0,common_name_ambiguous
AMHIT-0000069,SUBJ-000003,PRIYA KREOPOULOS,fraud,victim,193,,,,1.0,0,low_role
AMHIT-0000070,SUBJ-000041,INGRID QOMSTEIN,money_laundering,perpetrator,198,,1966-01-05,,1.0,0,wrong_entity
AMHIT-0000071,SUBJ-000095,ANNA MULLER,non_adverse,mentioned,37,,,,1.0,0,not_adverse
AMHIT-0000072,SUBJ-000065,MOHAMMED ALI,litigation_civil,perpetrator,3125,,,,1.0,0,stale_immaterial
AMHIT-0000073,SUBJ-000111,LI WANG,sanctions_evasion,perpetrator,174,,,,1.0,0,common_name_ambiguous
AMHIT-0000074,SUBJ-000078,LI WANG,organized_crime,perpetrator,238,,,,1.0,0,common_name_ambiguous
AMHIT-0000075,SUBJ-000116,MARIA GARCIA,non_adverse,mentioned,232,,,,1.0,0,not_adverse
AMHIT-0000076,SUBJ-000077,KWAME TASHADZE,fraud,perpetrator,87,,1958-05-20,,1.0,0,wrong_entity
AMHIT-0000077,SUBJ-000041,INGRID QOMSTEIN,non_adverse,mentioned,200,,,,1.0,0,not_adverse
AMHIT-0000078,SUBJ-000058,PRIYA KREOGLU,non_adverse,mentioned,263,,,,1.0,0,not_adverse
AMHIT-0000079,SUBJ-000089,DMITRI ZARADZE,money_laundering,perpetrator,690,,1991-09-24,,1.0,0,wrong_entity
AMHIT-0000080,SUBJ-000113,MOHAMMED ALI,non_adverse,mentioned,121,,,,1.0,0,not_adverse
AMHIT-0000081,SUBJ-000067,DAVID JONES,money_laundering,perpetrator,180,,,,1.0,0,common_name_ambiguous
AMHIT-0000082,SUBJ-000047,JOHN SMITH,fraud,mentioned,44,,,,1.0,0,low_role
AMHIT-0000083,SUBJ-000055,JOHN SMITH,money_laundering,perpetrator,782,,1973-03-18,,1.0,0,wrong_entity
AMHIT-0000084,SUBJ-000055,JOHN SMITH,money_laundering,perpetrator,230,,,,1.0,0,common_name_ambiguous
AMHIT-0000085,SUBJ-000096,SVEN DRAVENKO,organized_crime,victim,157,,,,1.0,0,low_role
AMHIT-0000086,SUBJ-000073,INGRID QOMOPOULOS,non_adverse,mentioned,264,,,,1.0,0,not_adverse
AMHIT-0000087,SUBJ-000028,MARIA GARCIA,money_laundering,mentioned,294,,,,1.0,0,low_role
AMHIT-0000088,SUBJ-000073,INGRID QOMOPOULOS,litigation_civil,perpetrator,3853,,,,1.0,0,stale_immaterial
AMHIT-0000089,SUBJ-000098,MOHAMMED ALI,sanctions_evasion,victim,321,,,,1.0,0,low_role
AMHIT-0000090,SUBJ-000005,MARIA GARCIA,fraud,perpetrator,159,,,,1.0,0,common_name_ambiguous
AMHIT-0000091,SUBJ-000043,TARIQ KRESSON,non_adverse,mentioned,184,,,,1.0,0,not_adverse
AMHIT-0000092,SUBJ-000111,LI WANG,organized_crime,perpetrator,55,GB,1954-07-16,,1.0,1,
AMHIT-0000093,SUBJ-000003,PRIYA KREOPOULOS,money_laundering,victim,202,,,,1.0,0,low_role
AMHIT-0000094,SUBJ-000047,JOHN SMITH,non_adverse,mentioned,164,,,,1.0,0,not_adverse
AMHIT-0000095,SUBJ-000072,MOHAMMED ALI,litigation_civil,perpetrator,2307,,,,1.0,0,stale_immaterial
AMHIT-0000096,SUBJ-000006,KWAME SEVSTEIN,litigation_civil,perpetrator,2757,,,,1.0,0,stale_immaterial
AMHIT-0000097,SUBJ-000077,KWAME TASHADZE,non_adverse,mentioned,231,,,,1.0,0,not_adverse
AMHIT-0000098,SUBJ-000065,MOHAMMED ALI,money_laundering,perpetrator,373,,1977-02-10,,1.0,0,wrong_entity
AMHIT-0000099,SUBJ-000067,DAVID JONES,corruption_bribery,victim,122,,,,1.0,0,low_role
AMHIT-0000100,SUBJ-000000,DMITRI TASHADZE,fraud,mentioned,118,,,,1.0,0,low_role
AMHIT-0000101,SUBJ-000037,KWAME TASHMANN,negative_general,perpetrator,2445,,,,1.0,0,stale_immaterial
AMHIT-0000102,SUBJ-000095,ANNA MULLER,fraud,perpetrator,214,US,1976-08-04,,1.0,1,
AMHIT-0000103,SUBJ-000071,SVEN VOLADZE,corruption_bribery,perpetrator,93,,1975-12-02,,1.0,0,wrong_entity
AMHIT-0000104,SUBJ-000009,OLUWASEUN BURSSON,non_adverse,mentioned,165,,,,1.0,0,not_adverse
AMHIT-0000105,SUBJ-000090,LI WANG,organized_crime,mentioned,68,,,,1.0,0,low_role
AMHIT-0000106,SUBJ-000098,MOHAMMED ALI,organized_crime,perpetrator,445,,,,1.0,0,common_name_ambiguous
AMHIT-0000107,SUBJ-000055,JOHN SMITH,non_adverse,mentioned,59,,,,1.0,0,not_adverse
AMHIT-0000108,SUBJ-000067,DAVID JONES,money_laundering,mentioned,168,,,,1.0,0,low_role
AMHIT-0000109,SUBJ-000099,PRIYA BURKOVSKY,fraud,perpetrator,98,,1982-11-04,,1.0,0,wrong_entity
AMHIT-0000110,SUBJ-000099,PRIYA BURKOVSKY,corruption_bribery,perpetrator,379,,1991-03-08,,1.0,0,wrong_entity
AMHIT-0000111,SUBJ-000022,TARIQ KREKOVSKY,sanctions_evasion,perpetrator,176,,1991-02-06,,1.0,0,wrong_entity
AMHIT-0000112,SUBJ-000059,KWAME KREADZE,sanctions_evasion,mentioned,358,,,,1.0,0,low_role
AMHIT-0000113,SUBJ-000081,LI WANG,sanctions_evasion,mentioned,331,,,,1.0,0,low_role
AMHIT-0000114,SUBJ-000060,INGRID KREKOVSKY,non_adverse,mentioned,231,,,,1.0,0,not_adverse
AMHIT-0000115,SUBJ-000075,MOHAMMED ALI,litigation_civil,perpetrator,2920,,,,1.0,0,stale_immaterial
AMHIT-0000116,SUBJ-000057,WEI CHEN,non_adverse,mentioned,24,,,,1.0,0,not_adverse
AMHIT-0000117,SUBJ-000103,MOHAMMED ALI,money_laundering,perpetrator,334,,,,1.0,0,common_name_ambiguous
AMHIT-0000118,SUBJ-000074,RACHEL QOMADZE,non_adverse,mentioned,288,,,,1.0,0,not_adverse
AMHIT-0000119,SUBJ-000005,MARIA GARCIA,negative_general,perpetrator,3858,,,,1.0,0,stale_immaterial
AMHIT-0000120,SUBJ-000077,KWAME TASHADZE,organized_crime,perpetrator,533,,1959-01-15,,1.0,0,wrong_entity
AMHIT-0000121,SUBJ-000110,LI WANG,money_laundering,perpetrator,278,,,,1.0,0,common_name_ambiguous
AMHIT-0000122,SUBJ-000090,LI WANG,organized_crime,perpetrator,469,,1983-09-20,,1.0,0,wrong_entity
AMHIT-0000123,SUBJ-000036,PRIYA ZARENKO,non_adverse,mentioned,203,,,,1.0,0,not_adverse
AMHIT-0000124,SUBJ-000076,SVEN DRAVMANN,non_adverse,mentioned,31,,,,1.0,0,not_adverse
AMHIT-0000125,SUBJ-000008,RACHEL KRESTEIN,corruption_bribery,victim,295,,,,1.0,0,low_role
AMHIT-0000126,SUBJ-000092,DAVID JONES,sanctions_evasion,perpetrator,173,,1971-02-19,,1.0,0,wrong_entity
AMHIT-0000127,SUBJ-000103,MOHAMMED ALI,organized_crime,perpetrator,86,,,,1.0,0,common_name_ambiguous
AMHIT-0000128,SUBJ-000088,JOHN SMITH,organized_crime,perpetrator,349,,,,1.0,0,common_name_ambiguous
AMHIT-0000129,SUBJ-000109,WEI CHEN,sanctions_evasion,perpetrator,67,,,,1.0,0,common_name_ambiguous
AMHIT-0000130,SUBJ-000046,INGRID BUROGLU,non_adverse,mentioned,14,,,,1.0,0,not_adverse
AMHIT-0000131,SUBJ-000027,INGRID MORADZE,corruption_bribery,perpetrator,517,,1962-04-05,,1.0,0,wrong_entity
AMHIT-0000132,SUBJ-000100,DAVID JONES,money_laundering,perpetrator,539,,1984-12-17,,1.0,0,wrong_entity
AMHIT-0000133,SUBJ-000043,TARIQ KRESSON,fraud,perpetrator,1171,,,,1.0,1,
AMHIT-0000134,SUBJ-000088,JOHN SMITH,sanctions_evasion,perpetrator,189,,1978-01-14,,1.0,0,wrong_entity
AMHIT-0000135,SUBJ-000056,SVEN SEVMANN,negative_general,perpetrator,3740,,,,1.0,0,stale_immaterial
AMHIT-0000136,SUBJ-000068,PRIYA NOROGLU,non_adverse,mentioned,127,,,,1.0,0,not_adverse
AMHIT-0000137,SUBJ-000035,MARIA GARCIA,corruption_bribery,perpetrator,367,,,,1.0,0,common_name_ambiguous
AMHIT-0000138,SUBJ-000116,MARIA GARCIA,corruption_bribery,perpetrator,418,,,,1.0,0,common_name_ambiguous
AMHIT-0000139,SUBJ-000020,TARIQ SEVADZE,non_adverse,mentioned,107,,,,1.0,0,not_adverse
AMHIT-0000140,SUBJ-000032,RACHEL ZARMANN,money_laundering,perpetrator,676,,1980-06-18,,1.0,0,wrong_entity
AMHIT-0000141,SUBJ-000066,SVEN VOLOGLU,litigation_civil,perpetrator,2783,,,,1.0,0,stale_immaterial
AMHIT-0000142,SUBJ-000057,WEI CHEN,sanctions_evasion,perpetrator,170,,1977-02-08,,1.0,0,wrong_entity
AMHIT-0000143,SUBJ-000005,MARIA GARCIA,organized_crime,perpetrator,47,,,,1.0,0,common_name_ambiguous
AMHIT-0000144,SUBJ-000049,MOHAMMED ALI,non_adverse,mentioned,46,,,,1.0,0,not_adverse
AMHIT-0000145,SUBJ-000119,TARIQ MORADZE,money_laundering,perpetrator,751,,1991-06-26,,1.0,0,wrong_entity
AMHIT-0000146,SUBJ-000117,JOHN SMITH,organized_crime,perpetrator,732,,1958-12-16,,1.0,0,wrong_entity
AMHIT-0000147,SUBJ-000010,RACHEL MORENKO,money_laundering,perpetrator,282,,1963-03-18,,1.0,0,wrong_entity
AMHIT-0000148,SUBJ-000054,WEI CHEN,money_laundering,mentioned,131,,,,1.0,0,low_role
AMHIT-0000149,SUBJ-000053,MARIA GARCIA,sanctions_evasion,perpetrator,488,,1954-02-27,,1.0,0,wrong_entity
AMHIT-0000150,SUBJ-000002,JOHN SMITH,sanctions_evasion,victim,377,,,,1.0,0,low_role
AMHIT-0000151,SUBJ-000078,LI WANG,non_adverse,mentioned,185,,,,1.0,0,not_adverse
AMHIT-0000152,SUBJ-000085,PRIYA MORKOVSKY,non_adverse,mentioned,347,,,,1.0,0,not_adverse
AMHIT-0000153,SUBJ-000081,LI WANG,sanctions_evasion,perpetrator,279,,,,1.0,0,common_name_ambiguous
AMHIT-0000154,SUBJ-000002,JOHN SMITH,non_adverse,mentioned,204,,,,1.0,0,not_adverse
AMHIT-0000155,SUBJ-000049,MOHAMMED ALI,corruption_bribery,perpetrator,279,,1951-06-26,,1.0,0,wrong_entity
AMHIT-0000156,SUBJ-000084,PRIYA BURMANN,money_laundering,perpetrator,615,,1971-03-02,,1.0,0,wrong_entity
AMHIT-0000157,SUBJ-000082,DMITRI MORMANN,non_adverse,mentioned,94,,,,1.0,0,not_adverse
AMHIT-0000158,SUBJ-000089,DMITRI ZARADZE,negative_general,perpetrator,3493,,,,1.0,0,stale_immaterial
AMHIT-0000159,SUBJ-000091,SVEN NORSTEIN,organized_crime,perpetrator,57,,1968-04-02,,1.0,0,wrong_entity
AMHIT-0000160,SUBJ-000053,MARIA GARCIA,sanctions_evasion,perpetrator,223,,,,1.0,0,common_name_ambiguous
AMHIT-0000161,SUBJ-000032,RACHEL ZARMANN,non_adverse,mentioned,23,,,,1.0,0,not_adverse
AMHIT-0000162,SUBJ-000045,RACHEL VOLADZE,money_laundering,perpetrator,691,,1971-05-04,,1.0,0,wrong_entity
AMHIT-0000163,SUBJ-000051,JOHN SMITH,non_adverse,mentioned,385,,,,1.0,0,not_adverse
AMHIT-0000164,SUBJ-000033,LI WANG,organized_crime,perpetrator,374,,,,1.0,0,common_name_ambiguous
AMHIT-0000165,SUBJ-000051,JOHN SMITH,money_laundering,perpetrator,392,,,,1.0,0,common_name_ambiguous
AMHIT-0000166,SUBJ-000105,MOHAMMED ALI,non_adverse,mentioned,97,,,,1.0,0,not_adverse
AMHIT-0000167,SUBJ-000010,RACHEL MORENKO,non_adverse,mentioned,172,,,,1.0,0,not_adverse
AMHIT-0000168,SUBJ-000077,KWAME TASHADZE,non_adverse,mentioned,372,,,,1.0,0,not_adverse
AMHIT-0000169,SUBJ-000044,TARIQ DRAVSSON,negative_general,perpetrator,2286,,,,1.0,0,stale_immaterial
AMHIT-0000170,SUBJ-000069,JOSE GONZALEZ,corruption_bribery,perpetrator,347,,,,1.0,0,common_name_ambiguous
AMHIT-0000171,SUBJ-000105,MOHAMMED ALI,organized_crime,perpetrator,206,,,,1.0,0,common_name_ambiguous
AMHIT-0000172,SUBJ-000020,TARIQ SEVADZE,litigation_civil,perpetrator,2492,,,,1.0,0,stale_immaterial
AMHIT-0000173,SUBJ-000056,SVEN SEVMANN,money_laundering,victim,44,,,,1.0,0,low_role
AMHIT-0000174,SUBJ-000046,INGRID BUROGLU,organized_crime,victim,319,,,,1.0,0,low_role
AMHIT-0000175,SUBJ-000047,JOHN SMITH,non_adverse,mentioned,195,,,,1.0,0,not_adverse
AMHIT-0000176,SUBJ-000017,LI WANG,sanctions_evasion,perpetrator,395,,1975-06-21,,1.0,0,wrong_entity
AMHIT-0000177,SUBJ-000112,JOHN SMITH,fraud,perpetrator,275,,,,1.0,0,common_name_ambiguous
AMHIT-0000178,SUBJ-000049,MOHAMMED ALI,corruption_bribery,perpetrator,380,,,,1.0,0,common_name_ambiguous
AMHIT-0000179,SUBJ-000109,WEI CHEN,organized_crime,perpetrator,122,,,,1.0,0,common_name_ambiguous
AMHIT-0000180,SUBJ-000033,LI WANG,organized_crime,perpetrator,64,,,,1.0,0,common_name_ambiguous
AMHIT-0000181,SUBJ-000105,MOHAMMED ALI,corruption_bribery,perpetrator,383,,,,1.0,0,common_name_ambiguous
AMHIT-0000182,SUBJ-000114,INGRID SEVMANN,non_adverse,mentioned,158,,,,1.0,0,not_adverse
AMHIT-0000183,SUBJ-000118,DMITRI KREOGLU,litigation_civil,perpetrator,3825,,,,1.0,0,stale_immaterial
AMHIT-0000184,SUBJ-000025,DAVID JONES,fraud,perpetrator,262,,1981-01-12,,1.0,0,wrong_entity
AMHIT-0000185,SUBJ-000102,INGRID DRAVOPOULOS,non_adverse,mentioned,287,,,,1.0,0,not_adverse
AMHIT-0000186,SUBJ-000053,MARIA GARCIA,organized_crime,perpetrator,387,,,,1.0,0,common_name_ambiguous
AMHIT-0000187,SUBJ-000098,MOHAMMED ALI,non_adverse,mentioned,214,,,,1.0,0,not_adverse
AMHIT-0000188,SUBJ-000040,DMITRI SEVSTEIN,money_laundering,perpetrator,480,,1979-11-17,,1.0,0,wrong_entity
AMHIT-0000189,SUBJ-000088,JOHN SMITH,sanctions_evasion,perpetrator,113,,,,1.0,0,common_name_ambiguous
AMHIT-0000190,SUBJ-000064,MOHAMMED ALI,money_laundering,perpetrator,147,,1983-03-10,,1.0,0,wrong_entity
AMHIT-0000191,SUBJ-000090,LI WANG,non_adverse,mentioned,120,,,,1.0,0,not_adverse
AMHIT-0000192,SUBJ-000052,LI WANG,money_laundering,perpetrator,148,,,,1.0,0,common_name_ambiguous
AMHIT-0000193,SUBJ-000025,DAVID JONES,corruption_bribery,perpetrator,334,,,,1.0,0,common_name_ambiguous
AMHIT-0000194,SUBJ-000021,DMITRI MORSSON,non_adverse,mentioned,308,,,,1.0,0,not_adverse
AMHIT-0000195,SUBJ-000084,PRIYA BURMANN,sanctions_evasion,perpetrator,757,,1988-06-27,,1.0,0,wrong_entity
AMHIT-0000196,SUBJ-000110,LI WANG,money_laundering,perpetrator,103,,1952-11-25,,1.0,0,wrong_entity
AMHIT-0000197,SUBJ-000098,MOHAMMED ALI,sanctions_evasion,mentioned,326,,,,1.0,0,low_role
AMHIT-0000198,SUBJ-000080,WEI CHEN,non_adverse,mentioned,284,,,,1.0,0,not_adverse
AMHIT-0000199,SUBJ-000047,JOHN SMITH,organized_crime,perpetrator,172,,,,1.0,0,common_name_ambiguous
AMHIT-0000200,SUBJ-000020,TARIQ SEVADZE,negative_general,perpetrator,3051,,,,1.0,0,stale_immaterial
AMHIT-0000201,SUBJ-000077,KWAME TASHADZE,fraud,perpetrator,340,,1995-06-24,,1.0,0,wrong_entity
AMHIT-0000202,SUBJ-000051,JOHN SMITH,non_adverse,mentioned,71,,,,1.0,0,not_adverse
AMHIT-0000203,SUBJ-000013,SVEN KREOPOULOS,non_adverse,mentioned,168,,,,1.0,0,not_adverse
AMHIT-0000204,SUBJ-000057,WEI CHEN,fraud,perpetrator,164,,1956-01-10,,1.0,0,wrong_entity
AMHIT-0000205,SUBJ-000047,JOHN SMITH,fraud,perpetrator,436,,,,1.0,0,common_name_ambiguous
AMHIT-0000206,SUBJ-000040,DMITRI SEVSTEIN,fraud,victim,265,,,,1.0,0,low_role
AMHIT-0000207,SUBJ-000112,JOHN SMITH,non_adverse,mentioned,162,,,,1.0,0,not_adverse
AMHIT-0000208,SUBJ-000050,KWAME TASHKOVSKY,sanctions_evasion,perpetrator,488,,1965-04-19,,1.0,0,wrong_entity
AMHIT-0000209,SUBJ-000063,ANNA MULLER,sanctions_evasion,perpetrator,689,,1993-08-10,,1.0,0,wrong_entity
AMHIT-0000210,SUBJ-000025,DAVID JONES,corruption_bribery,perpetrator,392,,,,1.0,0,common_name_ambiguous
AMHIT-0000211,SUBJ-000005,MARIA GARCIA,non_adverse,mentioned,210,,,,1.0,0,not_adverse
AMHIT-0000212,SUBJ-000046,INGRID BUROGLU,sanctions_evasion,mentioned,47,,,,1.0,0,low_role
AMHIT-0000213,SUBJ-000070,KWAME KREOPOULOS,non_adverse,mentioned,148,,,,1.0,0,not_adverse
AMHIT-0000214,SUBJ-000078,LI WANG,money_laundering,victim,59,,,,1.0,0,low_role
AMHIT-0000215,SUBJ-000043,TARIQ KRESSON,negative_general,perpetrator,3746,,,,1.0,0,stale_immaterial
AMHIT-0000216,SUBJ-000051,JOHN SMITH,sanctions_evasion,victim,33,,,,1.0,0,low_role
AMHIT-0000217,SUBJ-000091,SVEN NORSTEIN,organized_crime,perpetrator,285,DE,,,1.0,1,
AMHIT-0000218,SUBJ-000065,MOHAMMED ALI,fraud,mentioned,323,,,,1.0,0,low_role
AMHIT-0000219,SUBJ-000078,LI WANG,non_adverse,mentioned,383,,,,1.0,0,not_adverse
AMHIT-0000220,SUBJ-000064,MOHAMMED ALI,sanctions_evasion,mentioned,372,,,,1.0,0,low_role
AMHIT-0000221,SUBJ-000002,JOHN SMITH,non_adverse,mentioned,193,,,,1.0,0,not_adverse
AMHIT-0000222,SUBJ-000053,MARIA GARCIA,sanctions_evasion,perpetrator,335,,1994-11-01,,1.0,0,wrong_entity
AMHIT-0000223,SUBJ-000083,PRIYA SEVADZE,sanctions_evasion,perpetrator,611,,1964-12-02,,1.0,0,wrong_entity
AMHIT-0000224,SUBJ-000080,WEI CHEN,sanctions_evasion,perpetrator,409,,1959-11-08,,1.0,0,wrong_entity
AMHIT-0000225,SUBJ-000089,DMITRI ZARADZE,money_laundering,perpetrator,245,RU,,,1.0,1,
AMHIT-0000226,SUBJ-000088,JOHN SMITH,fraud,perpetrator,440,,1982-10-16,,1.0,0,wrong_entity
