subject_id,name,entity_type,name_class,country,dob
SUBJ-000025,DAVID JONES,INDIVIDUAL,common,IN,1992-11-12
SUBJ-000026,KWAME VOLADZE,INDIVIDUAL,distinctive,RU,1954-06-01
SUBJ-000027,INGRID MORADZE,INDIVIDUAL,distinctive,US,1954-12-21
SUBJ-000028,MARIA GARCIA,INDIVIDUAL,common,US,1971-02-17
SUBJ-000029,LI WANG,INDIVIDUAL,common,RU,1984-03-24
SUBJ-000030,KWAME KREOPOULOS,INDIVIDUAL,distinctive,IN,1962-02-04
SUBJ-000031,SVEN QOMMANN,INDIVIDUAL,distinctive,BR,1953-11-21
SUBJ-000032,RACHEL ZARMANN,INDIVIDUAL,distinctive,NG,1956-04-07
SUBJ-000033,LI WANG,INDIVIDUAL,common,DE,1977-03-09
SUBJ-000034,RACHEL DRAVSTEIN,INDIVIDUAL,distinctive,US,1991-09-27
SUBJ-000035,MARIA GARCIA,INDIVIDUAL,common,RU,1960-07-16
SUBJ-000036,PRIYA ZARENKO,INDIVIDUAL,distinctive,IN,1950-07-09
SUBJ-000037,KWAME TASHMANN,INDIVIDUAL,distinctive,SG,1992-12-16
SUBJ-000038,DAVID JONES,INDIVIDUAL,common,RU,1953-10-24
SUBJ-000039,SVEN ZARKOVSKY,INDIVIDUAL,distinctive,ZA,1980-09-28
SUBJ-000040,DMITRI SEVSTEIN,INDIVIDUAL,distinctive,DE,1954-10-03
SUBJ-000041,INGRID QOMSTEIN,INDIVIDUAL,distinctive,ZA,1965-10-20
SUBJ-000042,MARIA GARCIA,INDIVIDUAL,common,IN,1992-10-19
SUBJ-000043,TARIQ KRESSON,INDIVIDUAL,distinctive,RU,1966-07-05
SUBJ-000044,TARIQ DRAVSSON,INDIVIDUAL,distinctive,GB,1950-08-20
SUBJ-000045,RACHEL VOLADZE,INDIVIDUAL,distinctive,SG,1966-03-12
SUBJ-000046,INGRID BUROGLU,INDIVIDUAL,distinctive,DE,1978-09-23
SUBJ-000047,JOHN SMITH,INDIVIDUAL,common,SG,1969-11-04
SUBJ-000048,OLUWASEUN TASHSTEIN,INDIVIDUAL,distinctive,GB,1985-03-09
SUBJ-000049,MOHAMMED ALI,INDIVIDUAL,common,NG,1963-11-21
SUBJ-000050,KWAME TASHKOVSKY,INDIVIDUAL,distinctive,GB,1990-07-27
SUBJ-000051,JOHN SMITH,INDIVIDUAL,common,NG,1958-11-09
SUBJ-000052,LI WANG,INDIVIDUAL,common,SG,1995-07-18
SUBJ-000053,MARIA GARCIA,INDIVIDUAL,common,DE,1984-01-27
SUBJ-000054,WEI CHEN,INDIVIDUAL,common,IN,1958-01-10
SUBJ-000055,JOHN SMITH,INDIVIDUAL,common,NG,1963-11-08
SUBJ-000056,SVEN SEVMANN,INDIVIDUAL,distinctive,ZA,1959-04-28
SUBJ-000057,WEI CHEN,INDIVIDUAL,common,IN,1951-03-24
SUBJ-000058,PRIYA KREOGLU,INDIVIDUAL,distinctive,DE,1994-02-13
SUBJ-000059,KWAME KREADZE,INDIVIDUAL,distinctive,BR,1972-05-27
SUBJ-000060,INGRID KREKOVSKY,INDIVIDUAL,distinctive,RU,1975-06-09
SUBJ-000061,TARIQ BURMANN,INDIVIDUAL,distinctive,SG,1971-01-04
SUBJ-000062,TARIQ NOROGLU,INDIVIDUAL,distinctive,US,1956-10-14
SUBJ-000063,ANNA MULLER,INDIVIDUAL,common,IN,1988-09-04
SUBJ-000064,MOHAMMED ALI,INDIVIDUAL,common,AE,1952-12-14
SUBJ-000065,MOHAMMED ALI,INDIVIDUAL,common,NG,1977-02-22
SUBJ-000066,SVEN VOLOGLU,INDIVIDUAL,distinctive,SG,1969-11-14
SUBJ-000067,DAVID JONES,INDIVIDUAL,common,SG,1958-04-14
SUBJ-000068,PRIYA NOROGLU,INDIVIDUAL,distinctive,IN,1985-01-10
SUBJ-000069,JOSE GONZALEZ,INDIVIDUAL,common,ZA,1988-11-11
SUBJ-000070,KWAME KREOPOULOS,INDIVIDUAL,distinctive,DE,1992-02-10
SUBJ-000071,SVEN VOLADZE,INDIVIDUAL,distinctive,AE,1964-04-05
SUBJ-000072,MOHAMMED ALI,INDIVIDUAL,common,BR,1989-02-15
SUBJ-000073,INGRID QOMOPOULOS,INDIVIDUAL,distinctive,IN,1965-03-21
SUBJ-000074,RACHEL QOMADZE,INDIVIDUAL,distinctive,DE,1994-09-15
SUBJ-000075,MOHAMMED ALI,INDIVIDUAL,common,GB,1979-03-26
SUBJ-000076,SVEN DRAVMANN,INDIVIDUAL,distinctive,SG,1978-03-24
SUBJ-000077,KWAME TASHADZE,INDIVIDUAL,distinctive,AE,1983-08-21
SUBJ-000078,LI WANG,INDIVIDUAL,common,GB,1995-05-08
SUBJ-000079,ANNA MULLER,INDIVIDUAL,common,SG,1955-03-05
SUBJ-000080,WEI CHEN,INDIVIDUAL,common,RU,1954-07-14
SUBJ-000081,LI WANG,INDIVIDUAL,common,IN,1953-04-27
SUBJ-000082,DMITRI MORMANN,INDIVIDUAL,distinctive,BR,1950-06-10
SUBJ-000083,PRIYA SEVADZE,INDIVIDUAL,distinctive,BR,1964-05-14
SUBJ-000084,PRIYA BURMANN,INDIVIDUAL,distinctive,DE,1979-03-20
SUBJ-000085,PRIYA MORKOVSKY,INDIVIDUAL,distinctive,GB,1991-07-05
SUBJ-000086,OLUWASEUN ZAROGLU,INDIVIDUAL,distinctive,IN,1970-04-15
SUBJ-000087,JOSE GONZALEZ,INDIVIDUAL,common,AE,1976-05-27
SUBJ-000088,JOHN SMITH,INDIVIDUAL,common,SG,1953-06-08
SUBJ-000089,DMITRI ZARADZE,INDIVIDUAL,distinctive,RU,1951-10-05
SUBJ-000090,LI WANG,INDIVIDUAL,common,GB,1986-04-15
SUBJ-000091,SVEN NORSTEIN,INDIVIDUAL,distinctive,DE,1969-02-19
SUBJ-000092,DAVID JONES,INDIVIDUAL,common,ZA,1993-07-13
SUBJ-000093,INGRID VOLADZE,INDIVIDUAL,distinctive,GB,1994-05-28
SUBJ-000094,RACHEL MORKOVSKY,INDIVIDUAL,distinctive,NG,1984-07-22
SUBJ-000095,ANNA MULLER,INDIVIDUAL,common,US,1976-08-04
SUBJ-000096,SVEN DRAVENKO,INDIVIDUAL,distinctive,IN,1961-12-17
SUBJ-000097,TARIQ MOROPOULOS,INDIVIDUAL,distinctive,BR,1977-12-19
SUBJ-000098,MOHAMMED ALI,INDIVIDUAL,common,GB,1967-08-08
SUBJ-000099,PRIYA BURKOVSKY,INDIVIDUAL,distinctive,BR,1970-03-16
SUBJ-000100,DAVID JONES,INDIVIDUAL,common,NG,1967-10-23
SUBJ-000101,DMITRI SEVADZE,INDIVIDUAL,distinctive,GB,1965-12-14
SUBJ-000102,INGRID DRAVOPOULOS,INDIVIDUAL,distinctive,BR,1951-02-10
SUBJ-000103,MOHAMMED ALI,INDIVIDUAL,common,AE,1992-10-12
SUBJ-000104,SVEN QOMSSON,INDIVIDUAL,distinctive,NG,1994-08-09
SUBJ-000105,MOHAMMED ALI,INDIVIDUAL,common,GB,1962-06-04
SUBJ-000106,OLUWASEUN KREADZE,INDIVIDUAL,distinctive,BR,1967-12-19
SUBJ-000107,TARIQ VOLADZE,INDIVIDUAL,distinctive,AE,1964-06-06
SUBJ-000108,WEI CHEN,INDIVIDUAL,common,AE,1952-01-18
SUBJ-000109,WEI CHEN,INDIVIDUAL,common,BR,1956-01-19
SUBJ-000110,LI WANG,INDIVIDUAL,common,BR,1971-03-02
SUBJ-000111,LI WANG,INDIVIDUAL,common,GB,1954-07-16
SUBJ-000112,JOHN SMITH,INDIVIDUAL,common,DE,1959-10-10
SUBJ-000113,MOHAMMED ALI,INDIVIDUAL,common,GB,1985-07-20
SUBJ-000114,INGRID SEVMANN,INDIVIDUAL,distinctive,BR,1978-05-28
SUBJ-000115,PRIYA TASHKOVSKY,INDIVIDUAL,distinctive,ZA,1956-04-21
SUBJ-000116,MARIA GARCIA,INDIVIDUAL,common,DE,1965-03-18
SUBJ-000117,JOHN SMITH,INDIVIDUAL,common,IN,1978-12-20
SUBJ-000118,DMITRI KREOGLU,INDIVIDUAL,distinctive,AE,1994-08-03
SUBJ-000119,TARIQ MORADZE,INDIVIDUAL,distinctive,IN,1957-09-08
