pep_id,name,tier,position,country,jurisdiction_risk,status,years_since_left,principal_tier,principal_name,relationship,adverse_flag,dob,aliases,name_class
PEP-000012,DAVID GARCIA,TIER_3,PROVINCIAL GOVERNOR,KORVANIA,HIGH,CURRENT,0,,,,0,1944-09-08,,common
PEP-000013,JAMES SANTOS,TIER_2,STATE RAILWAY DIRECTOR GENERAL,QUELLARA,MEDIUM,CURRENT,0,,,,0,1952-02-04,,common
PEP-000014,YUKI VOLZINVOL,TIER_3,REGIONAL COUNCILLOR,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1952-04-18,,distinctive
PEP-000015,ANNA GARCIA,TIER_3,CUSTOMS DISTRICT DIRECTOR,QUELLARA,MEDIUM,FORMER,3,,,,0,1975-02-02,,common
PEP-000016,INGRID QOMNEFTTEN,TIER_3,MUNICIPAL TREASURER,BALDURIA,HIGH,CURRENT,0,,,,0,1950-07-01,,distinctive
PEP-000017,NADIA SHIDORTASH,RCA,ADULT CHILD OF OLUSEGUN POLGALTEN,BALDURIA,HIGH,CURRENT,0,TIER_3,OLUSEGUN POLGALTEN,ADULT CHILD,0,1974-01-24,,distinctive
PEP-000018,SVEN GORNEFTVOL,TIER_3,PROVINCIAL GOVERNOR,TASHKUVAN,HIGH,FORMER,3,,,,0,1942-10-03,SVEN GARNEFTVEL,distinctive
PEP-000019,LEILA DRAVSTROYMOR,TIER_3,MUNICIPAL TREASURER,ARBEQUIA,MEDIUM,CURRENT,0,,,,0,1976-02-03,LEILA DRAVSTRUYMOR,distinctive
PEP-000020,RAVI KALIANQOM,TIER_3,MUNICIPAL TREASURER,TASHKUVAN,HIGH,CURRENT,0,,,,0,1959-10-26,,distinctive
PEP-000021,SVEN SEVZINTASH,TIER_3,PROVINCIAL GOVERNOR,ZEMBRATA,HIGH,CURRENT,0,,,,0,1958-10-07,,distinctive
PEP-000022,HANNE DRAVLINVAR,TIER_3,MAYOR,KORVANIA,HIGH,CURRENT,0,,,,0,1968-09-23,HANNI DRAVLINVOR,distinctive
PEP-000023,JAMES KIM,TIER_3,PROVINCIAL GOVERNOR,MERIDONIA,LOW,FORMER,19,,,,0,1948-01-10,,common
PEP-000024,PRIYA QOMZINKAL,TIER_3,PROVINCIAL GOVERNOR,ARBEQUIA,MEDIUM,FORMER,29,,,,0,1955-03-26,,distinctive
PEP-000025,DMITRI BURZINRUS,RCA,BUSINESS ASSOCIATE OF NADIA MORMUNQOM,QUELLARA,MEDIUM,FORMER,28,TIER_1,NADIA MORMUNQOM,BUSINESS ASSOCIATE,0,1969-06-10,,distinctive
PEP-000026,DMITRI NORTEKKAL,RCA,SIBLING OF VIKTOR LANSOLMOR,SOLVENNIA,LOW,FORMER,13,TIER_2,VIKTOR LANSOLMOR,SIBLING,0,1941-02-09,,distinctive
PEP-000027,CARLOS SILVA,TIER_2,STATE OIL COMPANY CEO,ARBEQUIA,MEDIUM,FORMER,11,,,,0,1972-02-13,,common
PEP-000028,RAVI SHISTROYKAL,RCA,SIBLING OF NADIA TENKOVGOR,SOLVENNIA,LOW,CURRENT,0,TIER_2,NADIA TENKOVGOR,SIBLING,0,1982-02-24,,distinctive
PEP-000029,KWAME LANMUNRUS,RCA,ADULT CHILD OF LEILA RUSGALSHI,TASHKUVAN,HIGH,FORMER,29,TIER_3,LEILA RUSGALSHI,ADULT CHILD,0,1975-01-10,,distinctive
PEP-000030,AMARA MORVASHPOL,TIER_2,STATE RAILWAY DIRECTOR GENERAL,BALDURIA,HIGH,CURRENT,0,,,,0,1990-12-06,,distinctive
PEP-000031,VIKTOR FERBEKNOR,TIER_3,REGIONAL COUNCILLOR,BALDURIA,HIGH,FORMER,25,,,,0,1952-03-01,,distinctive
PEP-000032,OLUSEGUN NORVASHTEN,TIER_1,DEFENSE MINISTER,BALDURIA,HIGH,FORMER,19,,,,0,1965-04-05,,distinctive
PEP-000033,HANNE KREMUNQOM,TIER_3,PROVINCIAL GOVERNOR,THALASSIA,LOW,CURRENT,0,,,,1,1955-02-15,,distinctive
PEP-000034,SVEN FERBEKPOL,TIER_2,STATE RAILWAY DIRECTOR GENERAL,MERIDONIA,LOW,FORMER,24,,,,0,1968-03-24,,distinctive
PEP-000035,VIKTOR QOMTEKPOL,RCA,BUSINESS ASSOCIATE OF PRIYA DRAVLINVAR,NORVENIA,MEDIUM,CURRENT,0,TIER_2,PRIYA DRAVLINVAR,BUSINESS ASSOCIATE,0,1974-02-05,,distinctive
PEP-000036,NADIA LANIANTEN,TIER_2,STATE RAILWAY DIRECTOR GENERAL,MERIDONIA,LOW,CURRENT,0,,,,0,1966-07-25,,distinctive
PEP-000037,CARLOS SANTOS,TIER_3,DISTRICT JUDGE,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1964-07-18,,common
PEP-000038,RAVI QOMDORQOM,TIER_3,MUNICIPAL TREASURER,QUELLARA,MEDIUM,CURRENT,0,,,,0,1977-10-22,REVE QOMDORQOM,distinctive
PEP-000039,HANNE POLNEFTVOL,TIER_1,CHIEF JUSTICE,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1988-07-09,,distinctive
PEP-000040,TARIQ KALMIRNOR,RCA,BUSINESS ASSOCIATE OF INGRID VARKOVSHI,KORVANIA,HIGH,FORMER,21,TIER_2,INGRID VARKOVSHI,BUSINESS ASSOCIATE,0,1952-01-20,,distinctive
PEP-000041,INGRID DANSTROYPOL,TIER_2,AMBASSADOR,DRAVELLIA,MEDIUM,FORMER,25,,,,0,1976-11-13,INGRID DANSTRAYPOL,distinctive
PEP-000042,SUSAN PARK,TIER_3,DISTRICT JUDGE,SOLVENNIA,LOW,FORMER,10,,,,0,1947-10-26,,common
PEP-000043,LEILA NORLINMOR,TIER_1,CENTRAL BANK GOVERNOR,ARBEQUIA,MEDIUM,CURRENT,0,,,,0,1963-11-27,,distinctive
PEP-000044,NADIA GORTEKFER,TIER_3,MAYOR,QUELLARA,MEDIUM,FORMER,18,,,,0,1977-05-11,,distinctive
PEP-000045,AMARA RUSBEKZAR,RCA,SPOUSE OF YUKI QOMVASHDAN,DRAVELLIA,MEDIUM,CURRENT,0,TIER_2,YUKI QOMVASHDAN,SPOUSE,0,1952-02-08,AMORA RUSBAKZAR,distinctive
PEP-000046,PRIYA VARDORPOL,TIER_3,CUSTOMS DISTRICT DIRECTOR,NORVENIA,MEDIUM,FORMER,3,,,,0,1959-11-19,,distinctive
PEP-000047,MATEO SHIBEKKAL,TIER_3,MUNICIPAL TREASURER,NORVENIA,MEDIUM,FORMER,9,,,,0,1952-06-04,,distinctive
PEP-000048,SUSAN SANTOS,TIER_3,DISTRICT JUDGE,VESTMARLAND,LOW,CURRENT,0,,,,0,1973-10-10,,common
PEP-000049,NADIA SHIDARDRAV,RCA,SIBLING OF LEILA BURGALZAR,KORVANIA,HIGH,CURRENT,0,TIER_2,LEILA BURGALZAR,SIBLING,0,1948-11-28,,distinctive
PEP-000050,YUKI MORNEFTVOL,RCA,SPOUSE OF AMARA SEVDORVAR,QUELLARA,MEDIUM,CURRENT,0,TIER_3,AMARA SEVDORVAR,SPOUSE,0,1959-02-08,YUKE MARNEFTVEL,distinctive
PEP-000051,AMARA FERMIRGOR,TIER_2,NATIONAL POLICE COMMISSIONER,QUELLARA,MEDIUM,CURRENT,0,,,,0,1967-05-19,,distinctive
PEP-000052,INGRID LANSTROYDRAV,TIER_3,MUNICIPAL TREASURER,BALDURIA,HIGH,FORMER,6,,,,0,1954-05-23,INGRID LUNSTRUYDRAV,distinctive
PEP-000053,VIKTOR QOMTEKDAN,TIER_2,NATIONAL POLICE COMMISSIONER,BALDURIA,HIGH,FORMER,30,,,,0,1981-03-09,,distinctive
PEP-000054,INGRID POLGALRUS,RCA,SPOUSE OF OLUSEGUN SEVGALPOL,MERIDONIA,LOW,FORMER,17,TIER_1,OLUSEGUN SEVGALPOL,SPOUSE,0,1942-07-24,,distinctive
PEP-000055,SUSAN KIM,TIER_3,REGIONAL COUNCILLOR,NORVENIA,MEDIUM,FORMER,22,,,,0,1988-03-16,,common
PEP-000056,KWAME DANMUNVAR,TIER_3,CUSTOMS DISTRICT DIRECTOR,DRAVELLIA,MEDIUM,FORMER,16,,,,0,1946-03-11,,distinctive
PEP-000057,MATEO SHIOVAPOL,TIER_3,CUSTOMS DISTRICT DIRECTOR,NORVENIA,MEDIUM,CURRENT,0,,,,0,1965-09-27,,distinctive
PEP-000058,OLUSEGUN VARVASHVOL,RCA,BUSINESS ASSOCIATE OF PRIYA GORRANFER,MERIDONIA,LOW,CURRENT,0,TIER_2,PRIYA GORRANFER,BUSINESS ASSOCIATE,0,1975-07-03,OLISIGUN VARVASHVEL,distinctive
PEP-000059,YUKI KREDARVAR,TIER_2,NATIONAL POLICE COMMISSIONER,MERIDONIA,LOW,FORMER,10,,,,0,1970-08-08,,distinctive
PEP-000060,RAVI FERLINTASH,TIER_3,MAYOR,ARBEQUIA,MEDIUM,FORMER,9,,,,0,1957-01-10,,distinctive
PEP-000061,VIKTOR VARDARPOL,TIER_3,MUNICIPAL TREASURER,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1964-08-11,,distinctive
PEP-000062,NADIA VARSOLRUS,RCA,SIBLING OF PRIYA TENOVAMOR,SOLVENNIA,LOW,FORMER,26,TIER_3,PRIYA TENOVAMOR,SIBLING,0,1942-03-17,,distinctive
PEP-000063,RAVI POLKOVTASH,RCA,ADULT CHILD OF HANNE POLZINGOR,SOLVENNIA,LOW,CURRENT,0,TIER_3,HANNE POLZINGOR,ADULT CHILD,0,1990-05-11,,distinctive
PEP-000064,HANNE MORSKRUS,TIER_3,CUSTOMS DISTRICT DIRECTOR,THALASSIA,LOW,FORMER,21,,,,0,1974-01-20,,distinctive
PEP-000065,DMITRI QOMIANTEN,TIER_1,CHIEF JUSTICE,SOLVENNIA,LOW,FORMER,25,,,,0,1950-12-10,,distinctive
PEP-000066,MATEO TASHMIRGOR,RCA,SPOUSE OF TARIQ SEVRANKAL,SOLVENNIA,LOW,CURRENT,0,TIER_2,TARIQ SEVRANKAL,SPOUSE,0,1945-10-28,,distinctive
PEP-000067,JAMES GARCIA,TIER_3,DISTRICT JUDGE,NORVENIA,MEDIUM,CURRENT,0,,,,0,1982-01-26,,common
PEP-000068,KWAME NORVASHKAL,TIER_3,REGIONAL COUNCILLOR,SOLVENNIA,LOW,FORMER,10,,,,0,1969-05-07,,distinctive
PEP-000069,DMITRI SEVKOVRUS,RCA,BUSINESS ASSOCIATE OF MATEO DANRANDAN,VESTMARLAND,LOW,CURRENT,0,TIER_1,MATEO DANRANDAN,BUSINESS ASSOCIATE,0,1943-10-24,,distinctive
PEP-000070,PRIYA FERRANQOM,TIER_3,REGIONAL COUNCILLOR,NORVENIA,MEDIUM,FORMER,20,,,,0,1982-11-27,,distinctive
PEP-000071,VIKTOR VOLGALPOL,TIER_2,DEPUTY MINISTER,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1958-06-24,,distinctive
PEP-000072,MEI CHEN,TIER_3,MAYOR,QUELLARA,MEDIUM,FORMER,9,,,,0,1958-12-28,,common
PEP-000073,INGRID TASHMIRRUS,TIER_3,PROVINCIAL GOVERNOR,MERIDONIA,LOW,FORMER,26,,,,0,1940-05-18,,distinctive
PEP-000074,VIKTOR DRAVSOLKAL,TIER_2,STATE OIL COMPANY CEO,BALDURIA,HIGH,CURRENT,0,,,,0,1975-06-20,,distinctive
PEP-000075,YUKI SEVMUNKRE,TIER_2,DEPUTY MINISTER,KORVANIA,HIGH,CURRENT,0,,,,0,1946-04-18,,distinctive
PEP-000076,NADIA SHIMUNDAN,TIER_2,STATE RAILWAY DIRECTOR GENERAL,ARBEQUIA,MEDIUM,FORMER,5,,,,0,1979-07-09,,distinctive
PEP-000077,ANNA GARCIA,TIER_1,FINANCE MINISTER,SOLVENNIA,LOW,FORMER,4,,,,0,1981-06-02,,common
PEP-000078,HANNE POLIANLAN,TIER_3,MAYOR,KORVANIA,HIGH,FORMER,20,,,,0,1954-06-25,HANNE POLEANLAN,distinctive
PEP-000079,JAMES MOHAMMED,TIER_2,SENIOR PARTY SECRETARY,TASHKUVAN,HIGH,CURRENT,0,,,,0,1941-03-01,,common
PEP-000080,TARIQ BURTEKVOL,TIER_3,MAYOR,ARBEQUIA,MEDIUM,CURRENT,0,,,,0,1970-08-25,,distinctive
PEP-000081,SUSAN KIM,TIER_3,MUNICIPAL TREASURER,SOLVENNIA,LOW,FORMER,30,,,,0,1969-11-01,,common
PEP-000082,MATEO KREDORPOL,TIER_1,DEFENSE MINISTER,ZEMBRATA,HIGH,CURRENT,0,,,,0,1948-05-20,,distinctive
PEP-000083,MATEO FERLINSEV,TIER_3,MUNICIPAL TREASURER,VESTMARLAND,LOW,CURRENT,0,,,,0,1947-11-21,,distinctive
PEP-000084,HANNE POLSOLTEN,RCA,SIBLING OF RAVI QOMMUNMOR,ARBEQUIA,MEDIUM,FORMER,11,TIER_2,RAVI QOMMUNMOR,SIBLING,0,1949-11-16,,distinctive
PEP-000085,CARLOS PARK,TIER_1,ARMY CHIEF OF STAFF,TASHKUVAN,HIGH,FORMER,12,,,,0,1977-09-18,,common
PEP-000086,HANNE TENOVASEV,TIER_3,PROVINCIAL GOVERNOR,ZEMBRATA,HIGH,FORMER,12,,,,0,1982-08-08,,distinctive
PEP-000087,PRIYA TENSKFER,RCA,ADULT CHILD OF LEILA KRETEKDAN,MERIDONIA,LOW,FORMER,21,TIER_3,LEILA KRETEKDAN,ADULT CHILD,0,1951-03-19,PRIYO TENSKFOR,distinctive
PEP-000088,DAVID PARK,TIER_3,PROVINCIAL GOVERNOR,ARBEQUIA,MEDIUM,FORMER,7,,,,0,1961-03-12,,common
PEP-000089,AMARA FERIANVOL,TIER_3,REGIONAL COUNCILLOR,VESTMARLAND,LOW,CURRENT,0,,,,0,1988-09-04,AMARU FERIANVUL,distinctive
PEP-000090,VIKTOR DANDORGOR,TIER_3,PROVINCIAL GOVERNOR,BALDURIA,HIGH,FORMER,2,,,,0,1940-04-10,,distinctive
PEP-000091,YUKI TENNEFTTASH,RCA,SIBLING OF DMITRI MORZINZAR,THALASSIA,LOW,CURRENT,0,TIER_3,DMITRI MORZINZAR,SIBLING,0,1982-06-03,,distinctive
PEP-000092,DAVID SANTOS,TIER_3,DISTRICT JUDGE,DRAVELLIA,MEDIUM,FORMER,28,,,,0,1976-07-23,,common
PEP-000093,DAVID SILVA,TIER_3,REGIONAL COUNCILLOR,VESTMARLAND,LOW,CURRENT,0,,,,0,1984-06-03,,common
PEP-000094,CARLOS PARK,TIER_3,PROVINCIAL GOVERNOR,NORVENIA,MEDIUM,CURRENT,0,,,,0,1954-06-25,,common
PEP-000095,SVEN GORSTROYKAL,TIER_2,SENIOR PARTY SECRETARY,SOLVENNIA,LOW,CURRENT,0,,,,0,1949-05-07,,distinctive
PEP-000096,VIKTOR NORNEFTVAR,TIER_2,AMBASSADOR,VESTMARLAND,LOW,CURRENT,0,,,,0,1976-11-21,,distinctive
PEP-000097,INGRID VARVASHSEV,RCA,ADULT CHILD OF VIKTOR MORDARPOL,KORVANIA,HIGH,FORMER,19,TIER_3,VIKTOR MORDARPOL,ADULT CHILD,0,1969-08-02,,distinctive
PEP-000098,VIKTOR NORLINRUS,TIER_1,ARMY CHIEF OF STAFF,MERIDONIA,LOW,CURRENT,0,,,,0,1942-08-26,,distinctive
PEP-000099,YUKI GORDARVOL,TIER_3,MAYOR,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1981-03-02,,distinctive
PEP-000100,SVEN GORNEFTKAL,TIER_2,STATE RAILWAY DIRECTOR GENERAL,NORVENIA,MEDIUM,CURRENT,0,,,,0,1983-10-02,,distinctive
PEP-000101,DMITRI FERDARMOR,RCA,ADULT CHILD OF INGRID SHISOLSEV,SOLVENNIA,LOW,CURRENT,0,TIER_1,INGRID SHISOLSEV,ADULT CHILD,0,1964-11-26,DMATRI FERDARMOR,distinctive
PEP-000102,HANNE GORIANTEN,TIER_3,MAYOR,KORVANIA,HIGH,CURRENT,0,,,,0,1953-06-25,,distinctive
PEP-000103,KWAME NORGALKRE,TIER_3,MAYOR,MERIDONIA,LOW,CURRENT,0,,,,0,1942-11-11,,distinctive
PEP-000104,OLUSEGUN BURVASHVOL,RCA,SIBLING OF KWAME BURNEFTFER,SOLVENNIA,LOW,CURRENT,0,TIER_3,KWAME BURNEFTFER,SIBLING,0,1979-05-25,,distinctive
PEP-000105,SUSAN CHEN,TIER_3,CUSTOMS DISTRICT DIRECTOR,QUELLARA,MEDIUM,FORMER,26,,,,0,1952-06-22,,common
PEP-000106,MATEO BURSTROYFER,RCA,BUSINESS ASSOCIATE OF DMITRI RUSLINGOR,NORVENIA,MEDIUM,CURRENT,0,TIER_2,DMITRI RUSLINGOR,BUSINESS ASSOCIATE,0,1972-03-27,MATAO BURSTROYFIR,distinctive
PEP-000107,RAVI KALKOVTEN,TIER_3,MAYOR,MERIDONIA,LOW,CURRENT,0,,,,0,1945-06-08,,distinctive
PEP-000108,VIKTOR MORDARTASH,TIER_1,PRESIDENT,QUELLARA,MEDIUM,CURRENT,0,,,,0,1985-08-15,,distinctive
PEP-000109,SUSAN MOHAMMED,TIER_3,PROVINCIAL GOVERNOR,THALASSIA,LOW,CURRENT,0,,,,0,1967-02-25,,common
PEP-000110,SUSAN KHAN,TIER_2,STATE OIL COMPANY CEO,QUELLARA,MEDIUM,FORMER,20,,,,0,1971-10-18,,common
PEP-000111,NADIA TASHGALTEN,TIER_1,CENTRAL BANK GOVERNOR,DRAVELLIA,MEDIUM,CURRENT,0,,,,0,1982-11-03,,distinctive
PEP-000112,DAVID KHAN,TIER_3,REGIONAL COUNCILLOR,SOLVENNIA,LOW,FORMER,2,,,,0,1963-05-24,,common
PEP-000113,SUSAN PARK,TIER_1,ARMY CHIEF OF STAFF,DRAVELLIA,MEDIUM,FORMER,24,,,,0,1962-09-11,,common
PEP-000114,OLUSEGUN TASHIANPOL,RCA,SIBLING OF VIKTOR POLDORBUR,BALDURIA,HIGH,CURRENT,0,TIER_3,VIKTOR POLDORBUR,SIBLING,0,1952-05-12,OLUSEGUN TESHIUNPIL,distinctive
PEP-000115,MATEO RUSVASHRUS,RCA,SPOUSE OF LEILA DRAVZINKAL,TASHKUVAN,HIGH,CURRENT,0,TIER_3,LEILA DRAVZINKAL,SPOUSE,0,1973-05-26,,distinctive
PEP-000116,JAMES CHEN,TIER_2,STATE RAILWAY DIRECTOR GENERAL,ZEMBRATA,HIGH,CURRENT,0,,,,0,1958-05-15,,common
PEP-000117,ANNA SILVA,TIER_3,CUSTOMS DISTRICT DIRECTOR,THALASSIA,LOW,CURRENT,0,,,,0,1962-10-14,,common
PEP-000118,INGRID RUSRANGOR,TIER_2,NATIONAL POLICE COMMISSIONER,TASHKUVAN,HIGH,FORMER,22,,,,0,1978-11-26,,distinctive
PEP-000119,MEI SILVA,TIER_3,MAYOR,VESTMARLAND,LOW,CURRENT,0,,,,1,1949-11-15,,common
PEP-000120,LEILA RUSBEKDRAV,RCA,ADULT CHILD OF INGRID DANDARGOR,ZEMBRATA,HIGH,CURRENT,0,TIER_2,INGRID DANDARGOR,ADULT CHILD,0,1979-05-23,LUILA RUSBEKDROV,distinctive
PEP-000121,RAVI POLIANMOR,RCA,BUSINESS ASSOCIATE OF KWAME NORVASHBUR,ZEMBRATA,HIGH,FORMER,23,TIER_2,KWAME NORVASHBUR,BUSINESS ASSOCIATE,0,1959-03-23,,distinctive
PEP-000122,OLUSEGUN KALLINQOM,TIER_3,DISTRICT JUDGE,BALDURIA,HIGH,CURRENT,0,,,,0,1971-01-12,,distinctive
PEP-000123,SVEN TASHIANNOR,TIER_3,REGIONAL COUNCILLOR,THALASSIA,LOW,CURRENT,0,,,,0,1989-07-27,,distinctive
PEP-000124,VIKTOR NORVASHPOL,TIER_3,MAYOR,TASHKUVAN,HIGH,FORMER,12,,,,0,1980-10-06,,distinctive
PEP-000125,KWAME SEVNEFTBUR,RCA,SIBLING OF RAVI VOLZINGOR,THALASSIA,LOW,CURRENT,0,TIER_2,RAVI VOLZINGOR,SIBLING,0,1973-05-28,,distinctive
PEP-000126,SVEN DRAVDARSEV,TIER_1,PRIME MINISTER,MERIDONIA,LOW,FORMER,3,,,,0,1977-03-06,,distinctive
PEP-000127,LEILA DANOVAZAR,TIER_3,DISTRICT JUDGE,SOLVENNIA,LOW,CURRENT,0,,,,0,1953-10-14,,distinctive
PEP-000128,VIKTOR SHIGALSEV,TIER_3,PROVINCIAL GOVERNOR,SOLVENNIA,LOW,CURRENT,0,,,,0,1984-01-06,,distinctive
PEP-000129,LEILA FERDARMOR,TIER_3,CUSTOMS DISTRICT DIRECTOR,THALASSIA,LOW,FORMER,11,,,,0,1965-03-25,,distinctive
PEP-000130,SUSAN SANTOS,TIER_3,MUNICIPAL TREASURER,QUELLARA,MEDIUM,CURRENT,0,,,,0,1946-01-10,,common
PEP-000131,NADIA MORSTROYBUR,RCA,BUSINESS ASSOCIATE OF HANNE BURBEKDAN,MERIDONIA,LOW,CURRENT,0,TIER_2,HANNE BURBEKDAN,BUSINESS ASSOCIATE,0,1971-01-03,,distinctive
PEP-000132,TARIQ SEVDORFER,RCA,BUSINESS ASSOCIATE OF PRIYA DANRANVOL,SOLVENNIA,LOW,FORMER,21,TIER_3,PRIYA DANRANVOL,BUSINESS ASSOCIATE,0,1946-07-05,,distinctive
PEP-000133,AMARA SHISTROYKAL,RCA,ADULT CHILD OF LEILA VOLSOLVOL,ARBEQUIA,MEDIUM,FORMER,3,TIER_3,LEILA VOLSOLVOL,ADULT CHILD,0,1957-10-22,,distinctive
PEP-000134,MATEO KALBEKSHI,TIER_3,MAYOR,TASHKUVAN,HIGH,FORMER,25,,,,0,1973-08-05,MATOO KALBEKSHI,distinctive
PEP-000135,MEI MOHAMMED,TIER_3,MUNICIPAL TREASURER,VESTMARLAND,LOW,CURRENT,0,,,,0,1959-10-11,,common
PEP-000136,NADIA DANGALVAR,TIER_3,MUNICIPAL TREASURER,DRAVELLIA,MEDIUM,FORMER,12,,,,0,1977-05-26,,distinctive
PEP-000137,AMARA VARNEFTGOR,RCA,SPOUSE OF DMITRI DANMIRVOL,ARBEQUIA,MEDIUM,FORMER,20,TIER_3,DMITRI DANMIRVOL,SPOUSE,0,1966-03-14,AMARA VARNEFTGAR,distinctive
PEP-000138,AMARA VAROVATASH,TIER_3,CUSTOMS DISTRICT DIRECTOR,MERIDONIA,LOW,CURRENT,0,,,,0,1973-07-11,,distinctive
PEP-000139,AMARA VARSTROYQOM,RCA,BUSINESS ASSOCIATE OF LEILA SHIRANDRAV,NORVENIA,MEDIUM,CURRENT,0,TIER_3,LEILA SHIRANDRAV,BUSINESS ASSOCIATE,0,1959-05-23,,distinctive
PEP-000140,YUKI KALSKDRAV,TIER_2,SUPREME COURT JUDGE,VESTMARLAND,LOW,CURRENT,0,,,,0,1965-06-25,,distinctive
PEP-000141,VIKTOR DRAVDORLAN,RCA,ADULT CHILD OF NADIA NORRANPOL,MERIDONIA,LOW,CURRENT,0,TIER_1,NADIA NORRANPOL,ADULT CHILD,0,1957-03-04,,distinctive
PEP-000142,DAVID GARCIA,TIER_3,MUNICIPAL TREASURER,ZEMBRATA,HIGH,FORMER,2,,,,0,1985-08-04,,common
PEP-000143,JAMES KHAN,TIER_3,MAYOR,QUELLARA,MEDIUM,FORMER,29,,,,0,1952-05-11,,common
PEP-000144,INGRID DANMIRSHI,TIER_2,DEPUTY MINISTER,KORVANIA,HIGH,FORMER,28,,,,0,1951-01-27,,distinctive
PEP-000145,OMAR KIM,TIER_3,CUSTOMS DISTRICT DIRECTOR,VESTMARLAND,LOW,CURRENT,0,,,,0,1961-05-15,,common
PEP-000146,PRIYA KREBEKBUR,RCA,BUSINESS ASSOCIATE OF KWAME GORVASHDRAV,NORVENIA,MEDIUM,FORMER,21,TIER_3,KWAME GORVASHDRAV,BUSINESS ASSOCIATE,1,1961-05-19,,distinctive
PEP-000147,CARLOS KHAN,TIER_3,MAYOR,ZEMBRATA,HIGH,CURRENT,0,,,,0,1946-03-05,,common
PEP-000148,CARLOS GARCIA,TIER_3,MAYOR,NORVENIA,MEDIUM,CURRENT,0,,,,0,1959-10-24,,common
PEP-000149,NADIA QOMOVAKRE,TIER_3,REGIONAL COUNCILLOR,TASHKUVAN,HIGH,CURRENT,0,,,,0,1985-05-23,,distinctive
