uid,name,entity_type,program,sources,merged_from
OFAC_SDN-000841-0,ANNA MEGARERILU,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-001493-0,BIFAMUSOVAZOL GROUP,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-001017-2,AHMED GOKAZOJID,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-001313-1,KOPOFAPORE CAPITAL,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UN_CONSOLIDATED-002023-0,SIHUKOVIRETI SHIPPING,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-002003-0,JEPARORON SHIPPING,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001735-0,ANNA BEBUGACI,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-002848-2,VEHEZUKEBUV GLOBAL,CRYPTO,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-000840-0,SUCATAVICEGIL SHIPPING,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-000177-0,TOPIVUFEDI GROUP,ENTITY,OFA-PROG,OFAC_SDN,1
UN_CONSOLIDATED-001860-0,BUCIPUGESE HOLDINGS,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
UK_OFSI-001146-1,SERIZASEZI STAR,VESSEL,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-001927-1,IVAN LIGUBILICUHEP,INDIVIDUAL,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
OFAC_SDN-001429-0,KIBOSUPI CAPITAL,ENTITY,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-000519-0,WEI JIGIDAJUTOKUK,INDIVIDUAL,OFA-PROG; UN_-PROG,OFAC_SDN|UN_CONSOLIDATED,2
EU_CFSP-002695-1,MARIA LICUSAVA,INDIVIDUAL,EU_-PROG,EU_CFSP,1
UN_CONSOLIDATED-002583-1,MOHAMMED NOTIVEZAS,INDIVIDUAL,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
UN_CONSOLIDATED-003011-0,WEI PICESIVEGES,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
UN_CONSOLIDATED-001380-2,BORADESECE STAR,ENTITY,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-001871-2,IVAN PAFOHOGI,INDIVIDUAL,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-002826-0,SITALUPICEJAT GLOBAL,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-002228-0,KEBUKALI CAPITAL,AIRCRAFT,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
UK_OFSI-002417-1,MARIA GOLUMAMOCIMOP,INDIVIDUAL,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-001658-2,HESUHEZIMEJ GLOBAL,CRYPTO,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-002521-1,SERGEI HASELUMIKAM,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-002087-1,FATIMA DUROTOCEGIRI,INDIVIDUAL,OFA-PROG; UN_-PROG,OFAC_SDN|UN_CONSOLIDATED,2
EU_CFSP-000655-1,CHEN BENOBITAGA,INDIVIDUAL,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-002703-1,CHEN ZINOJALUM,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-002226-1,FATIMA JOKUFUMOLETU,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
UK_OFSI-002643-0,FEFABAPEHAZAP HOLDINGS,VESSEL,UK_-PROG,UK_OFSI,1
OFAC_SDN-001685-0,SUCOHIDIVI HOLDINGS,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-001011-0,CHEN HABIDUFE,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
EU_CFSP-001849-0,LUHEBATANIN SHIPPING,CRYPTO,EU_-PROG,EU_CFSP,1
EU_CFSP-000132-0,MOHAMMED CEGERIDU,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-001990-0,PEDEHIHOT GLOBAL,ENTITY,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
EU_CFSP-001673-1,BUGAKEDISIP OCEAN,ENTITY,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
EU_CFSP-000589-0,WEI TIROTOGERO,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-001862-1,RIMIFENOGEJ GLOBAL,ENTITY,OFA-PROG,OFAC_SDN,1
UN_CONSOLIDATED-001737-0,MARIA TUCAVUHISEZ,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-002343-1,LOBIGATEGAB SHIPPENG,ENTITY,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
OFAC_SDN-001972-1,ANNA TICEZACOV,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-000122-0,MOHAMMED DUBINERUSIHO,INDIVIDUAL,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
UN_CONSOLIDATED-002010-2,CHEN TESABILAHOH,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-001742-0,RONOBEMUJ SHIPPING,CRYPTO,UN_-PROG,UN_CONSOLIDATED,1
UK_OFSI-001726-2,ANNA NINODAJE,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
EU_CFSP-000106-0,JONERIMOKIRI STAR,ENTITY,EU_-PROG,EU_CFSP,1
UK_OFSI-001461-0,OMAR CAJARISUR,INDIVIDUAL,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
EU_CFSP-001982-0,KERAGOJANOH STAR,ENTITY,EU_-PROG,EU_CFSP,1
UN_CONSOLIDATED-002210-1,CHEN RUVUKEJEZEJAS,INDIVIDUAL,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
OFAC_SDN-002646-1,DERINATERIJ STAR,AIRCRAFT,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-002533-0,IVAN TUFOGORELE,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001863-0,OMAR ZEZEGAREZOH,INDIVIDUAL,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
UK_OFSI-000310-1,ANNA PUJETOVI,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-001471-0,FATIMA HIFONODO,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001178-1,CIBAJIBANETEZ STAR,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-001201-1,DUNIZOVU CAPITAL,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UK_OFSI-002372-1,MARIU RUCELILU,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-002504-2,DICIVODIMI STAR,AIRCRAFT,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-001701-0,CHEN NUFUDOMOKOSIT,INDIVIDUAL,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
EU_CFSP-001824-2,HEGOKIBOCADE STAR,ENTITY,EU_-PROG,EU_CFSP,1
OFAC_SDN-002404-0,CHEN GUZIJUGU,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
EU_CFSP-000664-0,OMAR DUTIMETELORIK,INDIVIDUAL,EU_-PROG,EU_CFSP,1
EU_CFSP-000348-0,LEGULAMIPORU TRADING,ENTITY,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
EU_CFSP-002382-0,IVAN FENIGOBAGEG,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-000154-0,MOFULUGO HOLDINGS,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001723-1,POMOLICUCIZU HOLDINGS,AIRCRAFT,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-000531-1,SERGEI SUROBOCOPE,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-001043-1,CEMEFELU SHIPPING,ENTITY,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
OFAC_SDN-001183-0,BULUCOREMAPET OCEAN,AIRCRAFT,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-003123-0,MOHAMMED RICUTOGU,INDIVIDUAL,UK_-PROG,UK_OFSI,1
EU_CFSP-001452-0,DANIZANACUM STAR,ENTITY,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
UK_OFSI-000392-0,HEVIFOVUG SHIPPING,ENTITY,UK_-PROG,UK_OFSI,1
OFAC_SDN-000695-2,BUVOFEJUN HULDINGS,VESSEL,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-002869-0,ZILICOJI STAR,ENTITY,OFA-PROG,OFAC_SDN,1
EU_CFSP-001588-0,ANNA CAVIHEVUHULU,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-001060-2,CHEN VIHUGEBIT,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-000082-0,JUNOZONETUNUL OCEAN,ENTITY,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-001139-2,AHMED HUJISEJIZUKOV,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-000681-1,MOHIPICURE SHIPPING,VESSEL,UK_-PROG,UK_OFSI,1
UK_OFSI-001805-0,NONIVEZA GROUP,VESSEL,UK_-PROG,UK_OFSI,1
EU_CFSP-000692-1,SERGEI MAZIJEJAK,INDIVIDUAL,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-002438-2,JAVUVUBUDE HOLDINGS,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
EU_CFSP-001536-0,WEI NOSEKUJICUJ,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-000236-0,MAMENEJILUNO GLOBAL,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-000748-0,RUKISALOZIT TRADING,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001940-0,CHEN REKACIBU,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-001521-0,GIROHAGEN OCEAN,ENTITY,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
OFAC_SDN-001619-2,LOVECIZUSUH SHIPPING,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-000376-0,NEMEVOGUME TRADING,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-002995-0,DEBOLIKEVUB GROUP,ENTITY,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-002242-0,FATIMA GESILUJAPE,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
EU_CFSP-000879-1,MARIA DOLIDODAFUTI,INDIVIDUAL,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
OFAC_SDN-001655-0,MOHAMMED TUSOFERIVE,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UN_CONSOLIDATED-002617-1,TAROGEMEPE TRADING,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
UK_OFSI-002626-0,ANNA SIFIMEPA,INDIVIDUAL,UK_-PROG,UK_OFSI,1
UK_OFSI-000716-1,SINUZOTUTIH GROUP,ENTITY,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
EU_CFSP-002862-2,IVUN MEZUJUBEFOSIZ,INDIVIDUAL,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-000238-2,RADORETUN CAPITAL,ENTITY,OFA-PROG,OFAC_SDN,1
UN_CONSOLIDATED-000998-0,MARIA ZUVANUMARUD,INDIVIDUAL,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
OFAC_SDN-002629-0,LENAKESUK GLOBAL,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-001040-0,SERGEI FOGUMAJO,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
EU_CFSP-002537-0,KIGOKOBATIL TRADING,ENTITY,EU_-PROG,EU_CFSP,1
EU_CFSP-000312-0,OMAR DUBATEHOCASIT,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-001069-0,MOHAMMED GIBOGUSIRU,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-001217-0,BAPAFUSOVEG SHIPPING,ENTITY,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
EU_CFSP-000936-0,ANNA PERESIVIGU,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-001092-0,SUKOSIBAV STAR,ENTITY,OFA-PROG; UN_-PROG,OFAC_SDN|UN_CONSOLIDATED,2
UN_CONSOLIDATED-000817-0,SERGEI HOCUMOKUVIN,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-002833-1,KIVORAFEFASEJ HOLDONGS,AIRCRAFT,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
EU_CFSP-002333-0,AHMED GINUKABEPUCU,INDIVIDUAL,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
UN_CONSOLIDATED-002981-0,DUROBOBUMA SHIPPING,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-001947-0,MOHAMMED JERUKIZOBUHU,INDIVIDUAL,OFA-PROG; UN_-PROG,OFAC_SDN|UN_CONSOLIDATED,2
OFAC_SDN-002746-0,MOHAMMED FAPIJASO,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-002958-1,JAZAMAHOSAV HOLDINGS,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
EU_CFSP-003102-0,CHEN COMACIMIPAGU,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-001184-2,CHEN VIFONITENEG,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-000429-0,ANNA DAVIJOFO,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
EU_CFSP-002494-2,GUPOBENICOZ GROUP,ENTITY,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-003110-0,ANNA DEDILOJOVO,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
OFAC_SDN-000626-1,DULOFAKOT GROUP,ENTITY,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-000375-0,WEI MAFANUJA,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-001100-1,ANNA SUSIZELUJIKI,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UN_CONSOLIDATED-002284-0,FUPUJIZI TRADING,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-000574-2,VOLITOGOPEGI GROUP,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UN_CONSOLIDATED-000595-1,MIJEMABOT GROUP,ENTITY,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
OFAC_SDN-000905-1,HENAGOHOTAZO STOR,CRYPTO,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-002696-2,SERGEI HULAFALAB,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
EU_CFSP-002828-0,FATIMA SUTESIZO,INDIVIDUAL,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
UN_CONSOLIDATED-002800-1,CHEN FAZOFEJUFOGE,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
UN_CONSOLIDATED-001248-0,CHEN FIBIDEHIFOBIC,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
UK_OFSI-001221-0,SERGEI MEZAHUCELU,INDIVIDUAL,UK_-PROG,UK_OFSI,1
UK_OFSI-002713-0,HAGODUNERAVA OCEAN,ENTITY,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
EU_CFSP-002340-1,RIDEROSUFOHO TRADING,ENTITY,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-002531-0,REFIMESESO GROUP,ENTITY,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
UK_OFSI-000482-0,HASIRUKIVUHI GLOBAL,ENTITY,UK_-PROG,UK_OFSI,1
UK_OFSI-001542-0,WEI JOLILEHUSUG,INDIVIDUAL,UK_-PROG,UK_OFSI,1
UK_OFSI-001887-0,WEI MEFIPOVONUTUR,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-000240-1,TOSEKAHORAS STAR,ENTITY,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
OFAC_SDN-001625-0,MOHAMMED VAPIDUNAF,INDIVIDUAL,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
OFAC_SDN-001061-0,KUHUCIPAC STAR,CRYPTO,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
OFAC_SDN-000385-0,MARIA FUSANAPILEKIR,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
EU_CFSP-000191-0,DUHONIJULE CAPITAL,ENTITY,EU_-PROG; UN_-PROG,EU_CFSP|UN_CONSOLIDATED,2
OFAC_SDN-002253-1,ANNA DUBAGIDUNAVI,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
EU_CFSP-001766-0,GINASIGU TRADING,AIRCRAFT,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-000060-1,CHEN DAZOTOCOJI,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-002240-1,DUCULEZUDO GLOBOL,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
UK_OFSI-002879-0,ZAHOFIHE GLOBAL,ENTITY,UK_-PROG,UK_OFSI,1
OFAC_SDN-001824-0,HOGOKIBOCADE STAR,ENTITY,OFA-PROG,OFAC_SDN,1
OFAC_SDN-002719-0,MOHAMMED MIGAVENULAJOM,INDIVIDUAL,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
UN_CONSOLIDATED-000903-0,SERGEI BIPAVOSIL,INDIVIDUAL,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-002347-0,FATIMA SOCADUTATAN,INDIVIDUAL,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
UK_OFSI-000587-1,SERGEI MUSUMESIPE,INDIVIDUAL,UK_-PROG,UK_OFSI,1
UK_OFSI-002112-1,FATIMA TAJEHATONUCEL,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-001216-2,VUNIJEBU OCEAN,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
OFAC_SDN-000888-1,FATIMA JOTAJATEHAR,INDIVIDUAL,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
OFAC_SDN-002991-0,SERGEI RUBATICAP,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-001307-0,ZINODOMU SHIPPING,VESSEL,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
OFAC_SDN-002261-1,CHEN SITEDEKAFIS,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
UN_CONSOLIDATED-001427-1,KUFIDUHOGE GROOP,ENTITY,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UN_CONSOLIDATED-002435-0,CEHENAZAJEGEL GLOBAL,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
OFAC_SDN-000137-2,PEHOMIGEBURON CAPITAL,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UK_OFSI-002332-1,ZUSUFURA SHIPPING,CRYPTO,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
OFAC_SDN-000957-2,BAMISOBOHANEB SHIPPING,ENTITY,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
UN_CONSOLIDATED-002875-1,OMAR HUSUFIFISOB,INDIVIDUAL,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
OFAC_SDN-003089-0,WEI KIGUGUBUHEJ,INDIVIDUAL,OFA-PROG,OFAC_SDN,1
UN_CONSOLIDATED-002574-1,COFETIRABICIJ GROUP,ENTITY,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
UK_OFSI-000483-1,FEFISONESAN HOLDINGS,ENTITY,EU_-PROG; UK_-PROG,EU_CFSP|UK_OFSI,2
UN_CONSOLIDATED-001254-0,TUFADOFU STAR,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
UN_CONSOLIDATED-002315-0,SINUSUGED GROUP,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
EU_CFSP-002637-2,FATIMA CERIFONUZ,INDIVIDUAL,EU_-PROG,EU_CFSP,1
UK_OFSI-002219-2,DECONACARUDIP CAPITUL,AIRCRAFT,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-000668-0,TODATEKEF TRADING,VESSEL,UK_-PROG,UK_OFSI,1
UK_OFSI-000143-0,CHEN SEGULIDAR,INDIVIDUAL,UK_-PROG,UK_OFSI,1
UK_OFSI-002094-0,TESOGALASE HOLDINGS,ENTITY,UK_-PROG; UN_-PROG,UK_OFSI|UN_CONSOLIDATED,2
OFAC_SDN-002801-0,MARIA MIBIMONIJEF,INDIVIDUAL,EU_-PROG; OFA-PROG; UK_-PROG,EU_CFSP|OFAC_SDN|UK_OFSI,3
