uid,name,entity_type,program,aliases,source,true_entity_id,id_dob,id_nationality,id_country,id_place_of_birth,id_passport,id_national_id,id_registration,id_imo,id_tail_number,id_wallet
UK_OFSI-000079-0,COCUJIMARUL HOLDINGS,ENTITY,UK_-PROG,,UK_OFSI,79,,,KP,,,,REG000079,,,
OFAC_SDN-000113-0,ANNA CIBOGERUZOV,INDIVIDUAL,OFA-PROG,,OFAC_SDN,113,1943-06-02,,BY,,P0000113,,,,,
UK_OFSI-000026-1,MABIROJA CAPATAL,ENTITY,UK_-PROG,,UK_OFSI,26,,,IR,,,,REG000026,,,
UK_OFSI-000109-0,MOHAMMED FEPINOJUV,INDIVIDUAL,UK_-PROG,,UK_OFSI,109,1939-02-26,,BY,,P0000109,,,,,
UN_CONSOLIDATED-000114-0,MALEMETU OCEAN,ENTITY,UN_-PROG,,UN_CONSOLIDATED,114,,,IR,,,,REG000114,,,
OFAC_SDN-000016-2,AHMED TUSUBADECIGEM,INDIVIDUAL,OFA-PROG,,OFAC_SDN,16,1916-05-17,,RU,,P0000016,,,,,
EU_CFSP-000159-0,IVAN CUCABAFOTOFUG,INDIVIDUAL,EU_-PROG,,EU_CFSP,159,1919-04-20,,VE,,P0000159,,,,,
OFAC_SDN-000050-0,OMAR CESUFAVOPU,INDIVIDUAL,OFA-PROG,,OFAC_SDN,50,1950-03-23,,SY,,P0000050,,,,,
UN_CONSOLIDATED-000166-0,AHMED TAFECIPISAC,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,166,1926-11-27,,BY,,P0000166,,,,,
UN_CONSOLIDATED-000101-0,ZAKEVICA GLOBAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,101,,,RU,,,,REG000101,,,
EU_CFSP-000140-0,MARIA COVECIBOV,INDIVIDUAL,EU_-PROG,,EU_CFSP,140,1900-09-01,,IR,,P0000140,,,,,
OFAC_SDN-000068-1,AHMED DIPAZUZUBOVA,INDIVIDUAL,OFA-PROG,,OFAC_SDN,68,1968-09-13,,VE,,P0000068,,,,,
UN_CONSOLIDATED-000144-0,IVAN VAHIRERARI,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,144,1904-01-05,,BY,,P0000144,,,,,
OFAC_SDN-000105-2,AHMED LIGAHOLOMO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,105,1935-10-22,,VE,,P0000105,,,,,
EU_CFSP-000054-0,LUKOBULAM SHIPPING,ENTITY,EU_-PROG,,EU_CFSP,54,,,CN,,,,REG000054,,,
UK_OFSI-000074-1,WEI VUSODENATOZIH,INDIVIDUAL,UK_-PROG,,UK_OFSI,74,1904-03-19,,AE,,P0000074,,,,,
UN_CONSOLIDATED-000142-1,CHEN CEFAPUSUKUR,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,142,1902-11-03,,AE,,P0000142,,,,,
UK_OFSI-000023-0,ANNA GEDOSITOCE,INDIVIDUAL,UK_-PROG,,UK_OFSI,23,1923-12-24,,RU,,P0000023,,,,,
UN_CONSOLIDATED-000026-0,MABIROJA CAPITAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,26,,,IR,,,,REG000026,,,
EU_CFSP-000091-0,CHEN RUGEBAMO,INDIVIDUAL,EU_-PROG,,EU_CFSP,91,1921-08-08,,AE,,P0000091,,,,,
EU_CFSP-000086-1,MARIA TIJANETIHANI,INDIVIDUAL,EU_-PROG,,EU_CFSP,86,1916-03-03,,KP,,P0000086,,,,,
OFAC_SDN-000125-2,IVAN NOLODIDOP,INDIVIDUAL,OFA-PROG,,OFAC_SDN,125,1955-06-14,,BY,,P0000125,,,,,
UN_CONSOLIDATED-000066-0,FATIMA VOBABIJE,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,66,1966-07-11,,AE,,P0000066,,,,,
UN_CONSOLIDATED-000141-0,FIROVIDURER SHIPPING,CRYPTO,UN_-PROG,,UN_CONSOLIDATED,141,,,KP,,,,,,,0x00000000008d
UN_CONSOLIDATED-000032-0,MOHAMMED SUKUROTISICU,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,32,1932-09-05,,SY,,P0000032,,,,,
EU_CFSP-000062-0,GUDOZIBIME SHIPPING,ENTITY,EU_-PROG,,EU_CFSP,62,,,BY,,,,REG000062,,,
OFAC_SDN-000143-1,CHEN SEGULIDAR,INDIVIDUAL,OFA-PROG,,OFAC_SDN,143,1903-12-04,,CN,,,,,,,
EU_CFSP-000025-0,MARIA LAVACIKACA,INDIVIDUAL,EU_-PROG,,EU_CFSP,25,1925-02-26,,RU,,P0000025,,,,,
UK_OFSI-000108-0,SUCIDAKIHUCU STAR,ENTITY,UK_-PROG,,UK_OFSI,108,,,CN,,,,REG000108,,,
UK_OFSI-000048-1,AHMED SUGOFOSICIJOK,INDIVIDUAL,UK_-PROG,,UK_OFSI,48,1948-01-21,,IR,,,,,,,
UN_CONSOLIDATED-000087-0,OMAR KOLIMUBIPEF,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,87,1917-04-04,,VE,,P0000087,,,,,
EU_CFSP-000030-0,SERGEI LILEFENAHEV,INDIVIDUAL,EU_-PROG,,EU_CFSP,30,1930-07-03,,VE,,P0000030,,,,,
OFAC_SDN-000103-0,MOHAMMED RIBITOKIROHU,INDIVIDUAL,OFA-PROG,,OFAC_SDN,103,1933-08-20,,VE,,P0000103,,,,,
UK_OFSI-000011-2,OMAR CACINAKEJUTEL,INDIVIDUAL,UK_-PROG,,UK_OFSI,11,1911-12-12,,SY,,,,,,,
UN_CONSOLIDATED-000124-0,MEFAGAHO GLOBAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,124,,,KP,,,,REG000124,,,
UK_OFSI-000152-0,ANNA CATIJEHODE,INDIVIDUAL,UK_-PROG,,UK_OFSI,152,1912-09-13,,RU,,P0000152,,,,,
UN_CONSOLIDATED-000067-0,WEI SUTAFOBU,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,67,1967-08-12,,VE,,P0000067,,,,,
OFAC_SDN-000120-1,GAZUBUHUJ GROUP,ENTITY,OFA-PROG,,OFAC_SDN,120,,,AE,,,,,,,
UK_OFSI-000143-0,CHEN SEGULIDAR,INDIVIDUAL,UK_-PROG,,UK_OFSI,143,1903-12-04,,CN,,P0000143,,,,,
EU_CFSP-000118-2,MARIA GUVICAFOBAHOS,INDIVIDUAL,EU_-PROG,,EU_CFSP,118,1948-11-07,,KP,,,,,,,
EU_CFSP-000061-0,AHMED CIDIFURILU,INDIVIDUAL,EU_-PROG,,EU_CFSP,61,1961-02-06,,IR,,P0000061,,,,,
OFAC_SDN-000084-0,SERGEI NOFEBUHOVO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,84,1914-01-01,,CN,,P0000084,,,,,
OFAC_SDN-000168-0,WEI LAPIHAROTIRO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,168,1928-01-01,,IR,,P0000168,,,,,
OFAC_SDN-000091-1,CHEN RUGEBAMO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,91,1921-08-08,,AE,,P0000091,,,,,
UN_CONSOLIDATED-000065-0,AHMED ZIKODIKANA,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,65,1965-06-10,,KP,,P0000065,,,,,
UK_OFSI-000081-1,BUVIKAVEZURE CAPITAL,ENTITY,UK_-PROG,,UK_OFSI,81,,,RU,,,,,,,
OFAC_SDN-000044-1,SERGEI PUMIBOLACO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,44,1944-09-17,,SY,,P0000044,,,,,
UK_OFSI-000151-0,ANNA CATIJEHODE,INDIVIDUAL,UK_-PROG,,UK_OFSI,151,1911-08-12,,AE,,P0000151,,,,,
UN_CONSOLIDATED-000059-0,OMAR DEVOTUNID,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,59,1959-12-04,,BY,,P0000059,,,,,
EU_CFSP-000042-0,ANNA KUSUHEHA,INDIVIDUAL,EU_-PROG,,EU_CFSP,42,1942-07-15,,SY,,P0000042,,,,,
EU_CFSP-000094-0,HOVAPOZISOGIV CAPITAL,ENTITY,EU_-PROG,,EU_CFSP,94,,,SY,,,,REG000094,,,
EU_CFSP-000143-2,CHEN SEGULODAR,INDIVIDUAL,EU_-PROG,,EU_CFSP,143,1903-12-04,,CN,,,,,,,
OFAC_SDN-000012-0,MOVEJIJACIV GROUP,VESSEL,OFA-PROG,,OFAC_SDN,12,,,RU,,,,,1000012,,
OFAC_SDN-000040-1,OMAR ROGOCEZUNU,INDIVIDUAL,OFA-PROG,,OFAC_SDN,40,1940-05-13,,IR,,P0000040,,,,,
EU_CFSP-000073-1,DIPAMIHEPUJ GROUP,VESSEL,EU_-PROG,,EU_CFSP,73,,,SY,,,,,1000073,,
UN_CONSOLIDATED-000048-0,AHMED SUGOFOSICIJOK,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,48,1948-01-21,,IR,,P0000048,,,,,
OFAC_SDN-000100-2,SEFAZOKEZIPI HOLDINGS,ENTITY,OFA-PROG,,OFAC_SDN,100,,,CN,,,,REG000100,,,
OFAC_SDN-000081-0,BUVIKAVEZURE CAPITAL,ENTITY,OFA-PROG,,OFAC_SDN,81,,,RU,,,,REG000081,,,
UN_CONSOLIDATED-000097-0,VIJINOCUKEBI STAR,ENTITY,UN_-PROG,,UN_CONSOLIDATED,97,,,VE,,,,REG000097,,,
UN_CONSOLIDATED-000020-0,RUBIMESUNOJ OCEAN,ENTITY,UN_-PROG,,UN_CONSOLIDATED,20,,,KP,,,,REG000020,,,
UN_CONSOLIDATED-000088-1,PUKEGOGOPO OCEAN,ENTITY,UN_-PROG,,UN_CONSOLIDATED,88,,,SY,,,,REG000088,,,
EU_CFSP-000064-2,VEPUTOMOZUH CAPITAL,ENTITY,EU_-PROG,,EU_CFSP,64,,,KP,,,,REG000064,,,
UN_CONSOLIDATED-000111-1,MOHOMMED JELAFUHIT,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,111,1941-04-28,,VE,,P0000111,,,,,
EU_CFSP-000150-1,HIDEPUMONILUF OCEAN,ENTITY,EU_-PROG,,EU_CFSP,150,,,RU,,,,REG000150,,,
EU_CFSP-000082-2,JUNOZONETUNUL OCEAN,ENTITY,EU_-PROG,,EU_CFSP,82,,,SY,,,,REG000082,,,
UN_CONSOLIDATED-000121-0,CHEN KIDEMAME,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,121,1951-02-10,,SY,,P0000121,,,,,
EU_CFSP-000033-0,SERGEI MODELUJOFUG,INDIVIDUAL,EU_-PROG,,EU_CFSP,33,1933-10-06,,KP,,P0000033,,,,,
UK_OFSI-000061-1,AHMED CIDIFURULU,INDIVIDUAL,UK_-PROG,,UK_OFSI,61,1961-02-06,,IR,,P0000061,,,,,
UN_CONSOLIDATED-000117-0,MOHAMMED DOZIPOVI,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,117,1947-10-06,,BY,,P0000117,,,,,
EU_CFSP-000029-1,LIBUJAKOVUKO OCEAN,VESSEL,EU_-PROG,,EU_CFSP,29,,,BY,,,,,1000029,,
UK_OFSI-000030-1,SERGEI LILEFENAHEV,INDIVIDUAL,UK_-PROG,,UK_OFSI,30,1930-07-03,,VE,,P0000030,,,,,
OFAC_SDN-000041-0,RIVUCUDEME STAR,ENTITY,OFA-PROG,,OFAC_SDN,41,,,IR,,,,REG000041,,,
UN_CONSOLIDATED-000089-0,CHEN TAJUVAZOCOGUC,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,89,1919-06-06,,BY,,P0000089,,,,,
OFAC_SDN-000064-0,VEPUTOMOZUH CAPITAL,ENTITY,OFA-PROG,,OFAC_SDN,64,,,KP,,,,REG000064,,,
UN_CONSOLIDATED-000022-0,SERGEI ZUNOZOTEVOK,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,22,1922-11-23,,BY,,P0000022,,,,,
UN_CONSOLIDATED-000132-1,MOHAMMED CEGERIDU,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,132,1962-01-21,,RU,,P0000132,,,,,
UK_OFSI-000132-2,MOHAMMID CEGERIDU,INDIVIDUAL,UK_-PROG,,UK_OFSI,132,1962-01-21,,RU,,P0000132,,,,,
UN_CONSOLIDATED-000008-0,GEVUHIZUJ CAPITAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,8,,,VE,,,,REG000008,,,
UN_CONSOLIDATED-000018-0,IVAN LIZONAFIL,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,18,1918-07-19,,IR,,P0000018,,,,,
UK_OFSI-000059-1,OMAR DEVOTANID,INDIVIDUAL,UK_-PROG,,UK_OFSI,59,1959-12-04,,BY,,,,,,,
UN_CONSOLIDATED-000147-1,BICEJEKELO TRADING,ENTITY,UN_-PROG,,UN_CONSOLIDATED,147,,,BY,,,,REG000147,,,
OFAC_SDN-000163-0,MOHAMMED VEVIKABAFUVE,INDIVIDUAL,OFA-PROG,,OFAC_SDN,163,1923-08-24,,VE,,P0000163,,,,,
EU_CFSP-000047-0,NUKATISAGACI HOLDINGS,ENTITY,EU_-PROG,,EU_CFSP,47,,,IR,,,,REG000047,,,
UK_OFSI-000057-0,FATIMA KUPARASATA,INDIVIDUAL,UK_-PROG,,UK_OFSI,57,1957-10-02,,AE,,P0000057,,,,,
UN_CONSOLIDATED-000104-0,PIFEDESOZOD SHIPPING,AIRCRAFT,UN_-PROG,,UN_CONSOLIDATED,104,,,IR,,,,,,EP-00104,
EU_CFSP-000110-0,KUHUHISOKOHE STAR,VESSEL,EU_-PROG,,EU_CFSP,110,,,AE,,,,,1000110,,
EU_CFSP-000034-0,MOFOMOLUVODUS SHIPPING,ENTITY,EU_-PROG,,EU_CFSP,34,,,VE,,,,REG000034,,,
OFAC_SDN-000150-0,HIDEPEMONILUF OCEAN,ENTITY,OFA-PROG,,OFAC_SDN,150,,,RU,,,,REG000150,,,
UN_CONSOLIDATED-000019-0,ZUJISANUF GLOBAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,19,,,VE,,,,REG000019,,,
UN_CONSOLIDATED-000070-0,VIZIDODOHUF HOLDINGS,CRYPTO,UN_-PROG,,UN_CONSOLIDATED,70,,,CN,,,,,,,0x000000000046
OFAC_SDN-000142-2,CHEN CEFAPUSUKUR,INDIVIDUAL,OFA-PROG,,OFAC_SDN,142,1902-11-03,,AE,,P0000142,,,,,
OFAC_SDN-000073-0,DIPAMIHEPUJ GROUP,VESSEL,OFA-PROG,,OFAC_SDN,73,,,SY,,,,,1000073,,
EU_CFSP-000092-0,BEJAFUCOCE STAR,ENTITY,EU_-PROG,,EU_CFSP,92,,,BY,,,,REG000092,,,
UN_CONSOLIDATED-000146-0,JIPOZOFAKIVUV SHIPPING,VESSEL,UN_-PROG,,UN_CONSOLIDATED,146,,,CN,,,,,1000146,,
EU_CFSP-000106-0,JONERIMOKIRI STAR,ENTITY,EU_-PROG,,EU_CFSP,106,,,CN,,,,REG000106,,,
UK_OFSI-000127-0,MARIA TAPEMUMUKOPU,INDIVIDUAL,UK_-PROG,,UK_OFSI,127,1957-08-16,,SY,,P0000127,,,,,
UK_OFSI-000105-0,AHMED LOGAHOLOMO,INDIVIDUAL,UK_-PROG,,UK_OFSI,105,1935-10-22,,VE,,P0000105,,,,,
UK_OFSI-000125-1,IVAN NOLUDIDOP,INDIVIDUAL,UK_-PROG,,UK_OFSI,125,1955-06-14,,BY,,P0000125,,,,,
EU_CFSP-000136-1,AHMID NABEGAZI,INDIVIDUAL,EU_-PROG,,EU_CFSP,136,1966-05-25,,AE,,P0000136,,,,,
UK_OFSI-000058-1,MOHAMMED KERUDOMIH,INDIVIDUAL,UK_-PROG,,UK_OFSI,58,1958-11-03,,IR,,P0000058,,,,,
OFAC_SDN-000055-1,AHMUD BAZEROTIM,INDIVIDUAL,OFA-PROG,,OFAC_SDN,55,1955-08-28,,IR,,P0000055,,,,,
EU_CFSP-000070-1,VIZIDODOHOF HOLDINGS,CRYPTO,EU_-PROG,,EU_CFSP,70,,,CN,,,,,,,0x000000000046
UN_CONSOLIDATED-000149-1,RIGAVILOROCU CAPITIL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,149,,,CN,,,,REG000149,,,
OFAC_SDN-000115-1,KICILIDOFEJU STAR,ENTITY,OFA-PROG,,OFAC_SDN,115,,,KP,,,,REG000115,,,
UN_CONSOLIDATED-000031-0,IVAN CIVADOVA,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,31,1931-08-04,,KP,,P0000031,,,,,
UK_OFSI-000086-0,MARIA TIJANETIHANI,INDIVIDUAL,UK_-PROG,,UK_OFSI,86,1916-03-03,,KP,,P0000086,,,,,
