uid,name,entity_type,program,aliases,dob,nationality,country,place_of_birth,passport,national_id,registration,imo,tail_number,wallet
SDN-00063,NORTECHPOL PEARL,VESSEL,SDNTK,,,,AF,,,,,IMO8796514,,
SDN-00064,JOSE VARGAZBUR,INDIVIDUAL,GLOMAG,,1961-06-26,VE,VE,,P4635017,,,,,
SDN-00065,NOREXPORTTEN AVIATION,AIRCRAFT,NPWMD,,,,MM,,,,,,EP-HJD,
SDN-00066,WEI ZARIANSEV,INDIVIDUAL,GLOMAG,,1973-12-08,VE,VE,,,,,,,
SDN-00067,TENSKMOR PETROLEUM,ENTITY,SYRIA,TENSKMOR MARINE,,,MM,,,,REG263615,,,
SDN-00068,SERGEI SHINEFTLAN,INDIVIDUAL,VENEZUELA,,1978-05-24,AF,AF,,,,,,,
SDN-00069,LANOILQOM WALLET,CRYPTO,RUSSIA-EO14024,,,,,,,,,,,0xb590481194f3
SDN-00070,VARMASHPOL NATIONAL,ENTITY,IRAN,VARMASHPOL FINANCE,,,KP,,,,,,,
SDN-00071,RUSMASHNOR GULF,ENTITY,VENEZUELA,,,,RU,,,,REG850544,,,
SDN-00072,VLADIMIR QOMZINSHI,INDIVIDUAL,NPWMD,,1986-10-26,AF,AF,,P8767312,,,,,
SDN-00073,YUSUF DANPROMSEV,INDIVIDUAL,SYRIA,,1987-01-20,IR,IR,,,,,,,
SDN-00074,AHMED NORNEFTQOM,INDIVIDUAL,NPWMD,,1983-02-06,RU,RU,,,,,,,
SDN-00075,CHEN QOMOILSEV,INDIVIDUAL,SYRIA,,1952-11-08,VE,VE,,,,,,,
SDN-00076,ABDUL SHIEXPORTTASH,INDIVIDUAL,VENEZUELA,,1957-02-02,KP,KP,,,,,,,
SDN-00077,ABDUL POLOILRUS,INDIVIDUAL,CUBA,,1980-09-16,MM,MM,,P0668752,,,,,
SDN-00078,ZARIANQOM CONSTRUCTION,ENTITY,VENEZUELA,ZARIANQOM AVIATION,,,AF,,,,,,,
SDN-00079,BURMASHGOR ORIENT,ENTITY,SDNTK,BURMASHGOR GULF,,,MM,,,,,,,
SDN-00080,VARIANVAR PETROLEUM,ENTITY,CUBA,VARIANVAR GENERAL,,,CN,,,,REG702685,,,
SDN-00081,RASHID VAROILRUS,INDIVIDUAL,SDNTK,,1950-08-03,CU,CU,,P1944841,,,,,
SDN-00082,ZARSKPOL PRIDE,VESSEL,GLOMAG,,,,SY,,,,,IMO1909393,,
SDN-00083,SERGEI VARINVESTVOL,INDIVIDUAL,IRAN,,1965-09-05,VE,VE,,,,,,,
SDN-00084,HASSAN FEREXPORTBUR,INDIVIDUAL,IRAN,,1983-01-18,CN,CN,,P1903561,,,,,
SDN-00085,TASHMASHSEV EASTERN,ENTITY,SYRIA,,,,VE,,,,REG505937,,,
SDN-00086,ANNA TASHTRANSLAN,INDIVIDUAL,GLOMAG,,1980-12-05,IR,IR,,P6961578,,,,,
SDN-00087,YUSUF ZAROILSEV,INDIVIDUAL,CUBA,,1985-11-16,KP,KP,,,,,,,
SDN-00088,SHITRANSPOL NATIONAL,ENTITY,SYRIA,SHITRANSPOL SHIPPING,,,SY,,,,,,,
SDN-00089,TENOVAMOR PRIDE,VESSEL,DPRK,,,,CN,,,,,IMO7395997,,
SDN-00090,YUSUF VOLDARGOR,INDIVIDUAL,IRAN,YUSUF TASHPROMTASH,1969-02-28,MM,MM,,P7665981,,,,,
SDN-00091,OMAR DRAVGAZFER,INDIVIDUAL,SDNTK,,1989-02-28,CU,CU,,,,,,,
SDN-00092,VARSKVOL AVIATION,AIRCRAFT,SYRIA,,,,VE,,,,,,EP-KBD,
SDN-00093,TENZINKRE INVESTMENT,ENTITY,RUSSIA-EO14024,,,,KP,,,,,,,
SDN-00094,FATIMA VOLOILKAL,INDIVIDUAL,DPRK,,1975-03-08,BY,BY,,,,,,,
SDN-00095,WEI NORTRANSFER,INDIVIDUAL,VENEZUELA,,1979-10-05,SY,SY,,,,,,,
SDN-00096,POLOILSHI GENERAL,ENTITY,VENEZUELA,,,,IR,,,,REG362351,,,
SDN-00097,TENTECHPOL UNITED,ENTITY,IRAN,,,,SY,,,,,,,
SDN-00098,HASSAN DANBANKDAN,INDIVIDUAL,RUSSIA-EO14024,,1992-05-01,CN,CN,,P9494713,,,,,
SDN-00099,VAROILQOM OCEAN,VESSEL,VENEZUELA,,,,SY,,,,,IMO4674286,,
SDN-00100,TASHZINVOL UNITED,ENTITY,IRAN,,,,MM,,,,REG382584,,,
SDN-00101,MORPROMBUR PEARL,VESSEL,CUBA,,,,BY,,,,,IMO3217273,,
SDN-00102,DRAVNEFTDRAV TEXTILE,ENTITY,IRAN,DRAVNEFTDRAV NATIONAL,,,MM,,,,,,,
SDN-00103,OMAR NORDARQOM,INDIVIDUAL,SDNTK,OMAR KALTECHDAN,1983-06-03,CN,CN,,P9002189,,,,,
SDN-00104,KALZINQOM FINANCE,ENTITY,CUBA,,,,RU,,,,,,,
SDN-00105,QOMIANPOL OCEAN,VESSEL,DPRK,,,,IR,,,,,IMO7850067,,
SDN-00106,JOHN VOLOILVAR,INDIVIDUAL,GLOMAG,,1954-04-18,KP,KP,,P6224540,,,,,
SDN-00107,JOSE TASHPROMKRE,INDIVIDUAL,NPWMD,,1987-07-09,RU,RU,,,,,,,
SDN-00108,KALZINKAL AVIATION,AIRCRAFT,VENEZUELA,,,,CN,,,,,,EP-JFA,
SDN-00109,SERGEI KREINVESTNOR,INDIVIDUAL,DPRK,,1989-11-20,RU,RU,,P5595355,,,,,
SDN-00110,LANIANSHI STAR,ENTITY,DPRK,LANIANSHI AVIATION,,,AF,,,,REG911941,,,
SDN-00111,FERKOVDRAV EXPRESS,ENTITY,IRAN,,,,KP,,,,,,,
SDN-00112,ZARDARZAR PETROLEUM,ENTITY,RUSSIA-EO14024,ZARDARZAR OCEAN,,,SY,,,,,,,
SDN-00113,ALI TENGRADKRE,INDIVIDUAL,RUSSIA-EO14024,ALI GOREXPORTFER,1978-08-25,CU,CU,,,,,,,
SDN-00114,GOROILPOL ORIENT,ENTITY,SDNTK,,,,RU,,,,REG502248,,,
SDN-00115,VARINVESTNOR ROAD,ENTITY,GLOMAG,VARINVESTNOR OCEAN,,,CU,,,,,,,
SDN-00116,RUSGRADSEV INVESTMENT,ENTITY,IRAN,RUSGRADSEV ENERGY,,,BY,,,,,,,
SDN-00117,SHISTROYTEN PRIDE,VESSEL,CUBA,,,,CN,,,,,IMO4833486,,
SDN-00118,RUSPROMKRE NATIONAL,ENTITY,DPRK,,,,CN,,,,REG267271,,,
SDN-00119,VARIANNOR TEXTILE,ENTITY,CUBA,,,,IR,,,,REG101255,,,
